Age,Total Work Experience,Number of years in city,Cost to Request Ratio,Cibil score,Overdrafts past12months,Total bounces past12months
25.25,2,6,0.808445275,630,0,0
47.3,3,4,0.662589532,719,0,0
48.75,1,5,0.746268657,839,0,0
33.5,1,4,0.598121196,810,0,1
21.6,1,5,0.620569136,751,0,0
55.1,3,4,0.557328169,840,0,0
41.8,3,3,0.702827122,704,0,0
32.12,2,6,0.839087398,831,0,0
37.9,2,4,0.647428159,702,0,0
50.92,1,4,0.556726847,871,0,0
35.75,3,3,0.839169948,781,0,0
45.75,3,6,1.191069147,769,0,0
28.17,2,4,0.799491523,791,0,0
55.2,3,5,0.647143595,783,0,0
31.9,3,6,0.626049751,614,0,0
37.2,2,5,0.84018135,743,0,0
48.08,1,6,0.555142283,748,0,0
31.92,3,6,1,808,0,1
23.8,3,5,0.529323461,736,0,6
45.1,3,5,0.820840146,720,0,0
35.58,1,6,0.581241928,769,1,1
33.1,1,5,0.822052039,766,1,1
52.67,1,6,0.923404255,821,0,0
55.33,1,4,1.199827525,782,1,12
31.83,2,5,0.732501992,737,0,0
34.42,2,6,0.876190743,787,0,0
47.1,1,6,0.840501383,548,0,0
40.92,1,6,0.724433325,754,0,0
21.5,2,3,0.424696854,741,0,0
50.67,1,5,1.199554385,809,0,0
32.9,3,4,0.746074582,757,0,0
25.67,1,6,0.89647376,834,0,0
51,3,6,0.848234589,719,0,0
44.2,3,5,0.898169522,719,0,0
30.11,1,6,0.744920321,784,0,0
36.1,3,2,0.898481735,771,0,0
36.6,1,4,0.848063322,733,0,0
48.11,3,6,0.828745021,639,0,0
34,3,6,0.677770189,786,0,0
33.1,3,4,0.859562262,727,0,0
36.12,1,4,0.844977536,844,0,0
20,3,3,0.421439282,724,0,0
31.7,3,6,0.74792838,719,0,0
41.25,1,6,0.83407868,791,0,0
33.25,3,3,1,789,0,0
33.83,1,3,0.806585424,703,0,0
34.1,2,4,0.621777122,832,0,0
26.25,2,4,0.831074322,597,0,0
34.33,1,5,0.848967294,821,0,0
47.2,2,3,0.838222967,682,0,0
39.1,3,4,0.648695592,720,0,0
54,3,3,0.832022568,721,0,0
35.67,1,6,0.896329849,743,0,0
31.08,2,4,0.86193121,823,0,0
39,2,3,0.628535512,764,0,0
32.9,3,3,1.200000898,776,0,0
54,1,5,1,824,0,0
42,2,5,0.761904762,742,0,0
28,2,4,0.836236934,798,0,0
33,1,4,0.880088009,805,0,0
27,3,3,0.846456693,807,0,0
28.17,1,6,0.989154013,771,0,1
37.42,3,3,0.849056604,797,0,0
50.25,1,5,0.798177772,726,0,0
25.92,1,5,0.846590381,776,10,12
41.25,1,3,1,802,0,0
46,3,1,1.2,585,0,0
51.67,1,3,1.250002043,773,0,1
42.58,1,5,1.199998192,812,0,1
27.33,2,3,0.688080654,794,1,1
31.75,2,6,0.455673485,772,0,0
27.67,3,3,0.59717621,774,0,0
38.33,2,4,0.368017783,812,0,0
36.5,1,6,0.691154262,833,0,0
48.75,1,6,0.014698451,828,1,1
40.83,1,5,1.4,804,0,1
45.25,1,5,0.640822988,853,1,1
29.33,1,6,0.920757675,809,1,1
41.08,1,6,1.20000766,634,1,1
50.67,1,6,0.848678075,725,0,2
30.08,3,5,1.198305172,811,0,3
28.75,1,6,1.4,779,0,1
32.5,2,4,1.164949162,744,0,0
33,2,6,0.5745886,580,0,0
41.83,2,4,0.630952381,796,1,1
27.58,3,4,0.66156706,796,0,1
42.08,2,4,1,804,0,0
27.83,3,6,1.19903312,788,0,0
49.42,1,4,1.2,855,0,0
40.9,1,5,0.898325847,799,0,0
32.4,1,5,0.849869642,793,0,0
42.08,1,2,0.762790698,821,0,0
41.08,1,4,0.897115067,831,0,1
29.1,3,6,0.731970933,765,0,2
29.58,3,3,1.066666667,745,0,0
34.92,2,4,0.847120654,771,0,1
32.9,3,3,1.200000898,776,0,0
29.75,2,3,0.941096754,789,0,0
34.5,2,5,1.399413114,821,0,2
24.5,3,3,0.849193874,766,0,5
30.8,1,3,1.2,805,0,1
35.5,2,6,1.200001479,806,0,0
26.83,3,4,1.268,519,0,0
38.17,2,5,1.200001278,800,0,1
32.2,2,3,0.898060854,809,0,1
28.42,3,4,0.51627583,760,0,2
45,1,6,1.23901589,824,0,2
22.75,2,6,0.798713276,700,0,0
26.58,3,4,0.808319221,779,0,0
40.42,2,3,1.2,831,1,4
26.92,3,4,0.829235528,787,0,0
30.08,1,3,1,806,0,2
44.33,2,3,1.2,810,0,0
24.9,3,6,0.899654784,766,0,0
29.2,3,4,0.849999253,776,0,0
23.4,3,4,0.702268327,763,0,7
23.33,1,4,0.374208694,763,0,7
60.67,3,6,0.799999572,770,0,0
56.58,1,6,0.512950786,824,0,0
46.7,3,3,0.846965042,820,0,0
33.75,1,4,1.197358554,781,0,0
74.58,2,4,0.600000578,811,0,1
39.4,3,5,0.899782715,771,0,0
51.6,1,6,0.679898066,817,0,3
30.25,2,3,0.843615826,827,0,0
42.67,1,6,1.200000223,820,1,2
48.08,3,3,1.199998834,802,1,1
38.1,2,5,1.200001618,776,0,0
60.17,3,3,0.499655004,768,0,0
38.42,3,6,0.911875,816,0,0
45.5,1,5,0.849687049,812,0,0
39.92,2,6,1.200000531,771,0,1
26.12,3,5,0.850001774,765,0,0
38.8,1,3,0.13738575,724,0,1
56.08,1,3,0.744228508,757,1,6
31.92,3,3,0.845131818,665,0,0
42.75,1,5,0.79838316,793,0,2
35.6,2,3,0.799692234,757,1,4
33.11,2,3,1.199940003,808,0,5
41.83,1,6,1.200001897,805,0,0
53.9,1,6,1.200002032,803,0,0
40.25,1,6,0.25,822,0,0
32.5,2,5,1,825,0,0
53.9,2,6,0.749946938,818,0,0
35.42,3,5,0.900000343,723,0,0
41.7,1,5,1,802,0,0
27.25,3,4,0.896910164,762,1,3
49,1,6,1.199999621,801,0,2
29.08,3,6,0.899699798,755,0,7
31.83,3,3,0.750000296,759,0,5
35.11,1,2,0.899999599,822,0,1
31.42,2,4,0.896947575,795,0,0
45.75,1,4,0.424999846,773,0,0
40.6,2,6,0.849962793,781,0,0
32.2,3,6,0.800001392,719,0,0
21.92,2,5,0.749998495,735,0,0
44.25,1,4,0.49977427,772,0,1
49.25,1,5,0.976810966,812,0,2
42.83,2,4,1.4,752,0,0
42.92,3,3,0.899998062,792,0,0
32.58,2,5,0.350000875,752,0,0
30.58,1,3,0.850002169,744,0,0
33.7,2,6,1,785,0,0
31.58,3,3,1.199998756,776,0,0
62.33,1,5,0.549999436,749,0,0
39.75,1,4,0.550000358,752,0,0
30.08,2,3,0.750000741,751,0,0
40.58,1,6,1,751,0,0
54.08,1,4,1.199998202,661,0,0
35.11,3,5,0.7,719,0,0
45.7,2,3,0.900001729,789,0,0
28.8,1,6,0.425000159,748,0,0
27.11,3,4,0.777777778,785,0,0
52.12,1,6,0.849999683,754,0,0
45.9,3,3,1.199997706,815,0,0
36.5,2,4,0.850001206,743,0,0
44.58,1,3,1,655,0,0
36.2,3,4,0.875,720,0,0
46.83,2,3,0.799998768,775,0,0
31.5,1,2,0.850001768,783,0,0
58,1,4,0.631578947,773,0,0
27,2,3,0.862068966,745,0,0
37,3,3,0.727272727,657,0,2
36,2,3,0.753295669,795,0,1
28,3,3,0.82168331,750,1,8
51,2,3,0.869424169,831,1,3
38.25,2,3,1.04,825,0,1
31.75,3,3,0.349162011,734,6,11
31.33,1,3,0.50580976,773,0,0
35.92,2,5,0.85326087,798,0,0
50.92,3,1,1.014810163,802,0,0
36.25,1,5,0.723970944,806,0,0
45.83,1,3,0.856760375,729,0,0
47.17,3,4,0.894854586,759,0,2
47.17,1,6,0.91298854,859,0,1
36.67,2,3,0.361741917,769,0,0
42.25,3,5,0.6958752,835,0,0
31.08,1,6,0.937743227,704,1,5
26.25,3,4,1.18119537,758,1,2
38.08,1,5,0.669762458,740,0,0
46.5,3,4,0.783831616,818,1,3
23.42,3,5,0.599464616,727,0,0
33.58,3,4,0.459313125,676,0,2
38.25,3,3,0.744171228,728,0,3
39.67,3,4,0.481414853,773,0,0
20.5,3,2,0.273784579,751,1,4
46.67,3,3,0.924324324,807,0,0
38.75,1,6,0.761317914,760,0,6
49.17,3,6,0.868960723,722,0,0
29.92,1,3,0.518427031,726,0,0
28.08,3,3,0.370441392,771,0,0
30.5,3,3,0.859328005,756,0,0
32.17,2,3,0.711446703,792,0,0
40.33,2,3,0.790298014,781,0,0
53.6,1,6,0.902585136,771,0,1
45.5,3,6,0.734442219,707,0,0
41.92,1,6,1.530297987,823,0,1
39.9,4,3,0.415313437,787,0,0
39.6,1,4,0.75,759,1,6
34.2,1,5,0.481320487,748,0,0
32.7,3,3,0.533181673,736,0,0
45.25,1,2,0.647103085,796,0,2
32.33,2,6,0.722105263,785,0,3
46.25,1,5,0.666666667,743,0,0
30.75,1,5,0.290538216,800,0,0
32.5,1,5,0.554736463,772,0,1
47.12,3,3,0.615687723,561,0,0
27.75,3,4,0.791642207,786,0,0
50.3,3,6,1,800,0,0
43.58,3,5,0.642487712,809,0,0
33.17,1,3,0.629912103,804,0,0
27,2,4,0.935409943,812,0,1
54.5,1,5,0.565809277,767,0,1
23,1,6,0.780950536,787,0,1
41.11,3,4,0.290300106,769,0,0
41.9,3,6,0.394244037,552,0,0
26.7,3,3,0.203666541,759,0,0
41.12,3,4,0.667353087,611,0,0
34.25,2,5,0.78619336,743,0,0
40.6,3,6,0.8,766,0,0
27.8,3,3,0.851851852,787,0,0
29,2,5,0.794073272,705,0,3
39.58,3,3,0.517241379,760,0,0
29.58,3,4,0.692550511,767,0,5
34,2,3,0.716761298,781,0,1
39.12,1,5,0.831089392,768,0,0
38.8,3,6,0.448183289,783,0,2
53.83,1,6,0.508932616,763,1,1
29.17,3,4,0.703296703,791,0,0
33.7,4,6,0.333333333,553,0,0
35.8,1,6,0.882352941,795,0,0
35.9,1,5,0.560979767,792,0,3
30.11,3,6,0.756097561,731,0,0
33.92,2,6,0.832721937,764,0,0
36.8,3,3,0.8,730,0,0
54.42,4,6,0.087100038,744,0,6
26.12,3,5,0.796935801,741,1,7
40.6,3,2,0.692306627,815,0,0
39.12,1,4,0.487830459,821,0,2
46.1,3,4,0.666666667,766,0,0
46.58,2,3,0.939120493,768,0,0
28.9,3,3,0.639538993,755,0,0
56.7,1,3,0.730604813,852,1,6
35.11,2,6,0.578947368,744,0,0
41.75,1,6,0.995906857,789,0,0
38.3,3,5,0.380856623,607,0,0
40.2,1,6,0.625,707,0,0
33.58,3,6,0.619557748,734,1,9
30.3,3,6,0.67138426,763,0,0
49.75,3,5,0.859562262,790,0,0
43.5,1,4,0.537592789,815,0,0
38.11,2,2,0.841605615,711,0,0
25.6,3,5,0.818181818,725,0,0
43.42,1,4,0.537592789,815,0,0
35.2,1,2,0.529895372,748,0,0
34.12,2,6,0.838123335,778,0,0
25.5,3,5,0.580133334,762,0,0
39.8,3,3,0.78123169,780,0,0
24.7,3,5,0.827586207,729,0,0
46.8,1,6,0.862866745,764,1,3
37.17,1,3,0.776711095,726,0,0
50.8,3,6,0.6,827,0,0
25.58,3,6,0.92734098,716,5,10
24.7,3,3,0.761772853,732,2,12
34.75,1,2,0.895312858,752,0,0
37.83,1,4,0.689655172,761,1,5
27.9,2,3,0.839981391,753,0,0
58.42,1,5,0.257601484,769,2,2
21.2,2,6,0.75,741,0,0
51.17,2,4,1.199056831,796,0,8
41.3,1,5,0.696369131,735,0,0
29.11,3,5,0.775474332,791,0,0
44.08,2,3,0.657641631,736,0,0
21.17,2,5,0.839814325,766,0,1
54.4,3,3,0.66720933,731,0,0
55.25,1,4,0.45858307,783,0,0
39.8,1,5,0.713869291,771,0,0
34.92,3,3,1.3,720,0,0
34.8,3,6,0.358189453,791,0,0
44.5,1,5,0.520359589,785,0,0
35.4,3,4,0.772727273,773,0,0
33.11,3,6,0.8,724,0,0
35.17,2,6,0.570477992,822,0,0
29.4,3,6,0.646478577,717,0,0
39.25,3,3,0.680933852,737,0,0
26.75,3,3,0.404617699,726,0,0
40.33,1,2,0.608516801,788,0,0
30.42,2,3,0.536113425,774,0,0
36.92,2,3,0.776302935,699,0,0
47.67,1,3,0.660535139,823,0,0
34.4,1,6,0.509562402,749,0,0
24.42,3,4,0.525636737,724,0,0
49.17,2,3,0.904761905,792,0,0
34.58,1,2,0.7,795,0,0
56.08,1,6,0.865872426,795,0,0
47.6,1,4,0.776699029,756,0,0
28.83,1,3,0.637534578,756,0,0
29.1,3,6,0.687345347,721,0,0
37.1,1,5,0.765749554,800,0,0
24.7,1,6,0.666963095,750,0,0
30.2,2,4,0.624431507,741,0,0
31.1,1,5,1,731,0,0
28.42,3,2,0.690073648,776,0,0
44.12,1,6,0.406615518,803,0,0
38,1,6,0.892857143,820,0,1
50,1,5,0.487296714,821,0,0
28,3,6,0.868306802,724,0,0
28,2,6,0.477707006,809,0,3
46.92,3,5,0.534045394,724,0,0
62.17,1,2,0.471698113,743,0,0
40.25,3,1,0.833333333,576,0,0
42.67,1,3,0.828863969,776,1,2
42.58,1,6,0.779423227,676,1,7
25.25,3,5,1.378328522,780,0,0
62.92,3,1,0.432098765,813,0,0
39,3,1,0.428571429,805,0,0
29.75,2,3,0.96992207,765,0,0
44.42,2,4,0.9375,732,0,0
54.17,1,4,0.697166784,689,0,0
40.17,3,3,0.40022797,811,1,2
32.75,3,3,1.365338523,704,0,0
47.75,3,1,0.75,721,0,0
32.25,2,3,0.291208241,760,0,1
31.33,1,5,0.806259801,574,0,0
72.75,1,5,0.854503662,742,0,0
20.92,3,5,0.656694541,771,0,0
49.58,1,6,0.728573385,731,0,0
28.17,2,5,0.503166354,702,0,0
34.75,1,5,0.639560392,667,0,0
27.42,3,6,0.319869493,802,0,0
21.08,3,6,0.533333333,765,0,0
33.42,3,6,0.714285714,785,0,0
52.92,2,5,0.894721145,728,0,0
40.75,1,6,0.812786761,788,0,2
41.25,3,6,0.408558483,729,0,0
23.5,3,3,0.516782669,643,1,3
42.75,3,3,0.534482759,802,0,0
39.42,2,4,0.683422594,835,0,0
40.33,3,5,0.852722506,814,0,0
28.8,3,6,0.845245662,759,0,0
28.75,1,5,0.845660461,776,0,1
35.9,3,6,0.85,438,0,0
26.5,1,6,0.807869728,749,1,5
32.5,3,4,0.598733797,600,2,9
40.2,2,6,0.625,791,0,0
36.17,1,6,0.389885588,725,0,0
51.67,1,6,0.897936295,790,0,0
45.5,2,4,0.880952381,743,0,0
37.3,1,4,0.593905847,833,0,2
42.83,1,6,0.644319933,814,0,0
26.1,3,4,0.666666667,720,0,0
34.11,2,6,0.71750413,830,0,0
31.3,1,3,0.461535234,632,1,2
50.33,1,5,0.834985491,760,0,0
43.42,1,6,0.730069679,845,0,0
34.9,2,6,0.476680776,637,0,0
29.8,2,5,0.840417116,802,0,1
58.25,1,5,0.461081282,828,0,1
42.12,3,5,0.4,701,0,0
30.8,2,3,0.583280838,768,4,12
40.9,2,3,0.541066984,608,0,0
39.33,1,6,0.73464698,740,0,1
33.67,2,6,0.738099983,637,0,0
36.75,2,4,1.061323901,670,0,0
37.17,2,6,0.858630958,769,1,3
34.92,3,6,0.29031537,806,0,0
39.3,1,6,0.629890946,851,0,0
36.5,1,5,1.172928803,779,0,0
22.4,3,6,0.882352941,720,0,0
38.5,1,6,0.842817666,834,0,5
48.92,1,6,0.595987218,800,2,4
52.5,1,5,0.335797715,688,0,0
36.2,2,6,0.307521706,400,0,0
44,1,6,1.127677227,813,0,0
39.42,3,6,0.529020476,587,0,0
27.08,2,5,0.649942913,781,0,0
38.75,1,5,0.438955549,752,0,0
36.83,3,5,0.7,788,0,2
36.83,1,6,0.786240786,755,0,0
35.75,1,4,0.775309857,748,0,0
45.92,2,4,0.685271013,741,0,0
30.67,2,3,0.372481652,806,0,4
33.42,1,6,0.766794556,650,0,0
28.75,2,6,0.663411527,819,0,0
27.75,2,6,0.592886313,754,1,2
48.92,1,6,1.211956108,822,0,2
40.58,1,5,0.9,785,1,0
38.5,3,6,0.91358909,793,0,0
38.5,3,6,0.91358909,793,0,0
29.92,1,5,0.75865912,769,0,4
50.4,3,5,0.7203656,837,0,0
31.42,2,6,0.85,783,1,8
38.5,3,3,0.534296492,752,0,0
41.83,1,5,0.791666667,771,0,0
35.1,2,4,0.625064345,833,0,0
51.4,3,5,0.763991209,828,0,0
61,1,6,0.684931507,865,0,0
25,2,4,0.892608089,788,0,0
46,3,4,0.393700787,827,0,0
50,3,5,0.977353993,779,0,1
54,3,1,0.343481655,813,0,0
46.08,1,5,0.954146341,801,0,0
45.83,3,3,0.742180896,745,1,2
45.17,1,5,0.680735194,643,0,0
33.42,2,6,1.317720344,807,0,3
51.17,2,4,0.756928731,816,0,0
55.17,1,4,0.241407502,752,0,0
42.58,2,3,0.741882568,621,0,0
41.5,2,4,0.419696056,840,0,0
43.75,1,3,0.827900238,813,0,0
44.33,1,5,0.915810433,806,1,2
32.25,1,5,0.996002284,788,0,0
32.83,1,5,0.098928558,751,0,1
41.5,1,4,1,747,0,0
31.75,3,4,1,740,0,0
24,3,3,0.849484536,731,0,0
26.08,3,1,0.774336283,719,0,0
44.58,1,5,0.625,793,1,1
44.17,2,4,0.69600204,812,0,0
28.58,2,5,0.547528272,568,0,0
