Period_Sales,Period_DeliveryDelay,Cost_Manufacturing,Cost_Indirect,Cost_Packing,Percent_Margin,Amount_Margin,Amount_Net,Amount_ChannelMargin,Percent_Tax
53,23,53,6,149,40,824,4406,1891,23
32,1,62,45,116,52,1219,4428,2309,10
33,4,62,6,170,26,912,3669,1331,11
33,14,89,14,115,55,1375,5989,2316,3
41,11,31,41,191,58,753,3663,1357,10
27,21,30,28,148,51,1472,4017,2374,5
6,18,90,7,140,18,531,5643,1784,23
12,18,24,7,194,52,1298,5928,1621,16
15,14,17,6,135,27,1095,4119,1103,20
15,12,15,25,108,35,1440,5117,1640,20
52,5,71,42,101,15,1261,4034,1006,23
8,14,61,15,180,36,763,5301,2245,2
6,2,53,4,194,42,899,4331,1601,5
54,7,95,20,169,11,1230,3430,2273,21
56,3,58,1,176,23,1182,5615,1706,17
19,1,94,1,104,37,1262,5877,1489,9
28,22,94,39,127,34,1033,4043,1538,10
42,15,50,32,124,48,1274,3874,1300,11
11,2,32,45,199,18,1465,5990,1810,2
37,17,36,12,132,17,728,3367,2049,3
30,17,53,15,194,25,730,3550,1380,13
14,22,42,31,127,52,963,3357,1852,18
21,3,62,13,189,12,993,5811,1906,9
20,12,57,8,195,19,1378,4527,1806,9
24,9,53,18,112,41,1299,5159,1685,12
47,6,58,1,116,23,1200,3239,1081,9
28,8,26,48,180,54,809,4975,1149,5
47,3,14,6,105,40,1246,3976,1393,14
45,20,79,40,134,55,1379,3958,1679,3
43,24,75,35,143,25,721,4732,1444,12
41,24,21,1,184,21,1426,4387,1568,20
23,7,13,16,117,54,1385,4867,1409,5
13,24,51,19,184,31,1443,3836,2469,22
26,6,96,43,120,59,1294,4249,2365,9
50,10,24,3,106,57,1304,3608,2098,21
13,8,40,20,136,47,966,3299,1985,2
42,16,99,32,134,43,1450,5472,1660,18
38,16,75,24,184,51,1164,3484,1706,6
10,5,84,46,125,51,1039,4473,1531,3
40,10,72,28,106,21,777,4127,1326,5
5,21,26,35,191,54,833,3727,1001,15
10,1,81,46,112,28,1335,4723,2334,4
12,10,79,26,105,37,1065,4509,1455,15
48,15,29,48,104,59,830,4530,2183,9
7,14,39,29,127,53,1230,5662,1078,18
6,15,78,12,123,50,847,5226,2108,6
33,12,83,16,174,56,1413,4190,1347,13
20,5,87,15,122,20,1430,5612,1834,16
45,11,70,41,104,48,580,4001,1887,18
37,9,17,14,192,16,1127,4773,1272,5
36,4,23,36,137,24,565,3627,1899,3
51,9,97,25,187,45,1397,4800,1011,9
53,9,84,23,177,10,1428,4429,1512,19
40,1,93,23,166,56,508,4270,2120,8
48,24,94,38,170,33,1336,4563,1870,22
40,0,59,9,189,46,687,5286,1151,19
25,18,18,7,156,26,885,5426,2406,23
29,2,16,18,130,59,518,3561,1263,24
10,22,88,17,130,52,904,4966,1265,13
30,16,48,46,161,29,648,3133,2397,1
33,24,48,12,162,18,1450,4807,1792,16
2,18,97,34,126,39,1096,5019,1346,19
32,17,82,5,143,49,883,4905,1308,9
48,15,86,33,139,20,716,3915,1383,9
6,6,74,48,142,43,1218,5174,1840,12
13,18,70,25,137,45,596,3742,1550,6
9,18,76,28,100,43,1158,4291,1794,17
57,4,10,48,102,51,1459,3633,2026,24
46,19,43,6,194,44,1493,4635,1450,1
33,8,67,33,125,40,1353,5687,2421,6
14,17,47,1,151,43,780,3058,1553,8
9,11,81,11,165,52,1173,3563,1659,1
35,19,51,42,190,51,1470,4950,1623,17
37,20,78,31,136,38,821,4744,1055,19
35,22,58,27,116,24,924,3786,1988,15
42,5,55,25,130,12,1045,5053,2006,13
15,14,42,49,114,17,968,4126,1935,15
50,20,40,27,146,15,1257,5743,2122,17
22,19,48,22,194,49,916,4754,1724,3
53,9,67,21,192,11,876,5248,1507,6
41,1,16,22,199,46,1242,3431,1603,14
55,17,28,34,176,27,985,3407,1233,12
46,21,40,37,178,33,1310,4434,1838,2
33,11,81,31,103,59,1370,5760,1981,1
32,11,99,13,173,13,840,4868,2133,6
55,10,86,9,154,52,1208,4229,2151,5
59,21,38,24,184,38,1037,5426,2194,22
1,17,59,14,192,53,983,4266,1137,17
51,7,39,25,111,21,537,5070,1082,23
48,11,64,4,143,44,1395,4299,1851,7
59,3,65,37,179,22,617,5824,2358,23
47,0,53,9,138,57,1336,5052,2422,11
42,0,10,0,196,51,1319,3637,2394,6
32,13,96,34,113,48,1217,4064,1913,14
31,13,66,25,116,17,1426,5023,1122,1
37,23,31,41,104,37,1188,3493,1723,3
56,11,27,42,180,57,1443,4915,1343,16
47,22,90,10,183,40,1061,3024,1272,13
10,11,53,16,179,54,1032,5965,2111,7
20,3,64,7,126,17,973,4467,1900,7
1,24,45,37,155,39,545,4207,1066,13
12,19,30,38,107,25,1092,4366,1799,3
22,9,19,44,131,25,593,4819,1487,1
1,23,75,18,155,50,903,5707,1179,24
50,20,13,10,135,24,823,3420,2184,20
14,9,21,35,124,55,887,5538,1237,1
37,10,89,13,170,43,1314,4102,1247,13
58,11,38,6,158,57,624,3096,1871,24
40,14,72,21,133,21,1275,5161,1527,22
28,20,63,10,158,57,627,4757,1969,2
38,12,90,4,189,30,967,4231,1615,1
0,18,99,4,175,27,1447,5893,1948,7
11,8,82,9,156,28,1003,3255,1444,20
39,20,16,6,185,37,854,5459,1142,10
40,17,75,21,147,59,1478,3524,1028,17
31,16,63,35,134,35,1131,4898,2457,19
26,22,15,17,196,24,574,5711,1214,2
6,8,19,17,143,38,788,3679,1128,18
49,22,78,27,139,26,574,3625,2214,19
58,12,68,20,117,26,1235,4558,2277,23
3,5,28,13,138,54,1456,3121,2041,20
51,17,98,9,106,20,1211,3380,1325,24
25,17,23,26,178,20,1488,5379,1864,14
59,13,88,48,190,14,1027,5008,1225,9
20,12,58,5,162,54,1499,5501,1656,1
14,24,64,20,114,57,904,5706,1313,16
29,22,31,28,183,30,735,4134,1402,21
6,10,70,19,179,46,962,3047,2499,18
37,4,89,35,162,16,1494,3562,2498,17
6,20,30,13,158,41,660,5184,1842,11
18,21,67,11,168,42,941,5486,1341,22
50,0,82,44,113,34,719,3056,2471,14
24,16,28,29,165,46,786,4427,2003,2
35,7,47,3,118,17,848,4857,2171,18
57,17,83,17,147,30,745,4465,1741,24
38,17,12,14,117,51,796,4850,2319,1
53,24,70,22,162,56,953,3777,2476,5
23,11,98,44,166,14,545,5354,1251,11
56,4,31,48,133,33,754,3148,1254,15
5,21,89,39,160,40,679,4472,1003,1
17,24,45,39,133,56,543,5444,1562,2
40,16,11,38,115,10,1231,3905,1243,16
58,16,23,43,153,28,567,3719,2267,2
57,14,48,43,168,42,560,4918,1089,5
21,20,72,3,195,33,880,4433,2307,9
30,1,96,4,130,50,1041,3285,1392,11
41,13,80,49,166,40,855,3963,1137,20
33,21,25,37,179,44,629,3804,1915,23
57,17,86,43,145,14,929,5384,2321,18
54,5,78,13,195,36,587,3697,1739,17
28,20,33,39,183,42,513,4196,1021,8
50,0,95,45,168,29,921,5973,1094,14
40,22,63,38,111,30,1223,4476,1023,13
19,9,15,44,136,31,1336,4598,1671,5
23,6,99,9,104,49,866,4637,2297,8
0,14,97,5,123,57,730,4030,1375,14
27,4,93,1,112,14,851,3763,2488,13
53,20,55,0,198,27,558,4457,2328,9
9,9,70,25,149,49,939,5211,2081,20
38,24,81,30,171,52,581,4824,1831,22
22,15,75,10,119,43,515,3947,1887,14
57,11,15,38,182,32,825,4453,2338,14
5,11,78,5,102,29,794,4798,1341,14
24,9,56,40,173,55,769,5865,1904,6
29,9,78,22,134,17,642,5596,2016,6
31,24,43,26,134,18,1086,4108,1912,2
15,0,68,46,162,35,926,5908,1593,5
25,24,92,2,164,51,1459,5676,1789,9
34,6,41,29,157,32,565,3791,1426,1
55,5,37,0,194,41,1293,3860,1769,7
37,13,34,41,197,29,718,3806,1709,20
1,9,70,45,156,50,1346,3083,2158,17
11,5,56,10,178,43,758,3213,2138,21
16,18,43,49,100,18,597,5575,1413,22
13,11,41,28,104,37,969,5068,2301,5
14,10,74,31,192,43,882,3445,1735,20
34,8,80,20,160,15,1143,5671,2461,10
21,20,46,10,146,30,1104,4992,1248,10
25,14,27,48,179,27,1474,3569,1210,12
41,7,61,0,163,17,1062,4820,1707,1
45,1,52,16,142,20,1455,3063,1897,21
14,19,22,27,199,33,1192,3106,1047,5
20,18,12,20,190,45,670,3925,1081,17
13,4,80,24,173,40,773,3069,1989,22
39,22,65,29,132,19,669,5780,1640,8
12,9,93,34,175,33,1391,3497,2249,6
7,19,92,28,159,25,1346,5352,2043,8
55,14,44,32,167,11,707,3894,1319,6
13,3,39,27,125,34,1488,4536,2176,13
28,1,61,42,160,37,830,4580,2114,8
29,21,31,38,144,48,1416,5980,1970,23
51,19,55,47,114,22,836,5820,1210,12
42,5,90,13,109,21,899,3653,2467,14
21,21,15,49,105,10,1239,4812,2215,21
15,0,72,4,138,45,751,3591,1340,9
11,0,94,39,144,42,1447,5111,1738,23
59,0,35,20,195,20,788,5768,2234,21
4,2,60,16,156,47,519,5820,1272,8
50,2,97,20,162,28,1075,4807,2196,19
5,6,84,46,138,58,745,4620,1176,10
54,24,38,40,134,53,615,4983,1333,14
56,3,37,8,161,22,874,4475,2340,23
59,1,85,12,175,29,926,3705,1188,10
0,1,48,10,188,43,1011,5583,2471,4
41,24,37,3,159,12,1157,3457,2229,2
24,16,70,43,120,39,501,3904,1323,14
27,10,91,16,183,10,678,4874,2215,17
36,2,89,23,195,29,1331,3347,1064,3
26,23,44,36,121,39,1310,3428,2051,8
22,23,27,19,193,57,852,4436,1852,8
46,3,92,3,158,33,620,3910,2163,1
13,11,19,49,136,49,879,5037,2061,20
44,12,33,18,132,40,952,4677,1258,12
18,20,81,0,170,26,1444,4483,2490,13
4,23,60,37,160,55,1109,3348,2234,4
55,1,74,2,183,49,769,3156,2234,14
10,4,67,30,125,50,875,4428,1882,14
41,16,94,15,189,45,1246,5370,1293,17
1,12,93,35,169,25,775,4030,1366,21
6,8,98,45,179,10,1469,4130,1377,15
6,16,22,33,104,27,772,5686,1382,24
14,21,91,28,121,26,622,5088,1204,10
43,11,51,4,124,13,794,4912,1751,18
38,8,95,5,168,38,770,3784,1004,14
20,15,84,2,113,47,1290,4014,1572,7
35,10,22,22,198,33,834,4993,1299,11
49,13,55,27,158,34,1219,5309,2446,18
36,2,53,46,187,20,1327,5759,2388,15
57,16,31,39,108,34,1148,3742,1161,1
31,4,68,48,110,33,1111,5443,2377,21
28,20,44,40,157,13,1383,3576,2078,7
35,8,53,22,104,44,759,4865,2441,20
12,14,15,31,131,30,1310,3623,1876,13
45,22,52,36,147,59,1283,5368,1384,4
36,13,18,46,106,41,1351,4226,1638,21
31,10,22,28,125,35,1309,4375,2449,21
23,3,37,0,194,59,1229,5916,1182,21
26,6,22,33,108,45,970,5781,1693,15
3,5,55,22,158,16,1444,3488,1378,4
5,15,27,34,146,11,1072,4246,1134,9
49,22,15,40,170,32,1149,3912,1597,19
57,10,42,42,158,20,1341,5223,1719,10
51,23,22,14,197,32,827,4303,2292,24
41,0,39,20,171,46,777,5295,2079,9
1,16,82,48,190,34,1469,4901,2096,18
32,15,60,36,145,28,1431,5153,2382,5
36,23,61,25,115,56,1147,3752,1695,9
1,0,62,35,176,57,1140,5294,2478,7
39,19,36,44,141,17,1172,4565,1613,4
15,16,71,36,171,47,1021,4262,1913,10
47,19,34,46,188,42,1251,3925,2401,16
8,22,88,22,139,52,776,5016,2246,9
49,5,12,31,178,19,1315,5826,1139,5
42,18,90,4,125,43,1086,5742,2003,17
19,13,23,20,168,43,950,4232,2484,20
7,5,55,2,117,42,673,3211,1957,14
15,20,27,47,138,30,582,4111,1408,12
11,20,51,49,161,24,793,4477,1296,17
1,7,55,4,172,53,860,5144,1639,11
19,22,83,31,190,29,1230,4524,1643,9
39,15,39,7,159,51,897,5072,2176,1
26,0,64,4,146,18,1077,5177,1727,9
11,7,76,19,184,54,1291,5374,1641,10
7,2,85,19,151,41,855,4348,1922,15
1,20,40,37,110,39,1105,5733,1604,17
59,11,55,16,154,13,766,5458,2201,21
16,2,47,40,155,38,1213,4497,2386,22
18,24,14,11,159,54,1127,4612,1476,15
6,20,36,44,121,42,710,5079,1722,15
0,15,37,46,120,16,1279,3842,2117,7
35,22,13,26,122,34,1273,5008,1039,8
56,9,24,46,144,14,524,3514,1374,24
50,21,65,35,128,34,679,5081,1994,18
45,11,26,49,150,23,879,5711,1241,6
4,19,38,43,119,13,878,4816,1764,3
53,24,11,14,170,29,704,4185,1237,23
1,14,93,15,111,25,1306,5161,1977,3
36,13,54,1,188,10,1491,3190,1910,1
5,14,14,28,104,43,1348,4172,1555,3
50,16,52,46,156,30,1363,3292,2247,4
45,3,49,41,155,26,1141,5089,1071,23
35,21,10,9,137,34,1087,3967,1594,11
23,10,53,38,190,29,1118,3042,1662,13
53,12,47,4,152,46,638,4580,1995,8
18,16,88,48,101,48,981,4321,1360,16
35,10,25,26,141,55,622,4057,1294,15
1,16,39,47,181,48,1013,3914,1103,1
42,10,84,1,168,40,1089,3349,2185,2
42,24,95,32,114,40,918,3779,1558,6
54,22,47,31,116,18,549,3495,1284,7
23,19,35,29,112,21,581,5038,2275,8
16,0,88,25,165,18,1232,4874,2168,15
36,12,56,16,156,25,1460,4058,1535,11
38,16,63,34,143,57,880,4973,2198,19
16,1,23,34,104,27,1490,5112,1663,2
8,21,18,38,195,46,638,4751,2328,23
9,16,22,6,158,15,706,3081,2445,4
27,0,45,39,114,10,818,4414,2461,8
4,0,49,2,112,56,986,4399,1632,15
19,18,66,30,110,42,600,3197,2310,8
55,12,35,42,108,31,587,5185,2445,24
57,2,92,19,139,49,955,3476,1065,1
55,17,71,19,192,58,1415,5283,1318,4
39,21,60,0,108,24,1352,5272,1589,21
51,14,19,34,137,49,1168,5644,1512,8
39,15,27,22,105,31,1023,5006,1183,13
1,22,23,15,167,26,809,3265,1122,14
52,12,31,44,155,28,860,4048,2389,2
21,10,76,42,118,48,1013,4636,1845,8
26,5,91,24,187,10,1215,3420,1136,2
55,21,29,2,101,24,529,4394,1278,13
57,22,73,15,150,45,1169,3710,1438,13
25,20,28,49,167,45,614,5643,2369,5
42,2,11,9,129,12,1062,3029,1196,3
58,7,36,1,179,51,975,3137,2035,15
28,17,30,43,150,16,1318,4600,2072,14
47,24,84,20,150,16,880,4285,2330,4
53,22,64,13,166,36,883,4294,2234,17
46,17,36,7,193,54,1361,4681,2417,15
1,3,83,23,157,50,809,4196,1682,1
10,13,33,2,199,13,691,3600,1980,19
46,20,71,33,111,10,785,3030,2217,2
38,20,69,8,137,20,543,4684,2086,15
35,8,84,22,148,51,654,5023,1002,2
34,4,12,19,135,22,511,4753,1866,3
10,9,15,48,199,17,1233,5531,1040,7
16,17,95,24,103,21,919,4453,1798,13
19,2,73,44,176,18,962,5511,2247,6
39,10,73,2,190,10,1070,3190,2199,8
14,24,41,11,179,36,1184,5654,1713,22
19,22,15,4,190,40,1389,4561,2448,4
47,20,67,19,120,53,1113,3785,2084,5
10,19,60,14,145,57,1099,5223,2326,20
25,8,96,4,173,51,775,4820,1880,16
9,1,88,6,111,42,1375,3910,1213,1
1,21,47,0,186,40,1475,5394,1959,22
27,3,85,15,168,41,1136,5057,1797,23
49,15,26,9,183,23,582,5963,1187,9
35,14,62,18,114,34,903,4218,1286,14
54,1,35,34,177,39,692,4974,1260,14
56,16,61,12,159,52,1390,3251,1516,6
14,15,42,46,157,25,1440,5418,2000,16
45,2,60,19,106,20,754,4956,2206,22
12,20,88,39,110,41,538,4857,1825,23
49,18,96,12,103,55,671,3623,1998,10
46,11,13,21,113,49,818,3741,1953,2
0,16,77,37,181,38,668,3713,2283,6
13,6,25,5,189,47,1324,4606,1296,12
43,11,37,49,129,36,1376,3582,1709,16
51,8,39,48,117,27,769,5467,2354,21
48,19,64,37,160,45,621,5006,1110,22
56,18,63,6,141,51,876,3498,2314,12
23,4,60,16,174,44,545,4907,1507,16
5,23,24,33,119,11,1432,4812,2422,6
48,9,72,9,129,44,1153,4524,2176,18
43,21,19,27,102,54,1070,3937,1561,15
34,17,39,31,155,23,977,5958,1674,3
21,18,73,17,142,27,1102,5301,1879,8
57,4,79,39,194,40,769,5806,2073,6
37,14,44,13,160,27,933,3810,2140,6
49,14,58,46,143,34,1403,5329,2042,19
42,2,86,0,130,42,859,4349,1379,9
34,15,46,30,129,51,1396,3365,2286,2
13,15,13,24,157,53,1303,4778,1307,19
27,14,68,40,149,15,732,4933,2212,8
46,3,73,13,154,43,765,5762,2281,3
36,17,31,3,145,53,905,4239,1594,11
2,12,98,15,148,25,1058,3500,1540,9
32,21,44,16,114,38,1350,3529,1867,8
39,12,27,19,170,38,613,3190,1270,23
54,13,82,49,154,13,695,3993,2048,18
32,9,74,22,110,19,898,4805,1453,11
55,1,10,24,104,48,1487,4684,1181,3
26,21,70,21,135,16,1255,3510,2314,7
32,20,83,11,141,14,1339,4142,1553,21
37,20,81,26,114,22,698,5793,1058,6
23,1,38,34,112,50,643,3176,1320,8
16,6,72,45,181,27,1474,3148,2477,1
10,24,17,13,148,29,1294,5025,1543,3
45,4,41,19,149,36,1419,4875,1864,15
48,15,96,46,167,35,1080,3827,2032,12
0,6,75,25,141,29,1431,4338,1061,5
35,7,13,35,161,22,672,4114,1241,15
37,23,61,47,106,38,581,5752,1826,21
21,20,58,44,146,42,1374,3783,2345,18
21,22,11,19,138,42,674,5322,2104,4
8,17,75,12,197,48,1072,5750,1028,10
19,23,44,10,114,15,1304,4332,1633,10
52,11,20,32,101,18,1030,4225,1339,18
43,12,51,28,122,30,699,3483,1215,12
21,15,50,43,110,46,1480,3334,1390,22
15,5,17,35,135,58,903,3585,1343,20
11,21,44,25,178,12,1160,3519,2027,9
25,6,65,37,170,40,1089,5416,1756,16
38,4,86,25,193,11,1227,5938,1971,2
19,18,18,6,115,20,1055,5329,2362,17
34,1,40,16,159,14,1223,4804,1826,20
38,15,69,22,139,58,1201,4940,1864,16
54,16,76,41,188,23,1008,4369,2209,4
58,0,80,22,192,52,520,5963,1261,20
11,6,57,41,194,30,830,5018,1119,8
48,12,54,21,177,31,1424,4043,1821,20
21,16,35,22,108,49,968,5656,2078,21
35,10,38,7,153,36,1428,5132,2445,24
40,13,90,37,153,57,603,4361,1408,10
42,10,92,16,186,57,1000,4770,1766,18
23,21,94,21,155,52,849,3989,1411,6
34,11,61,45,164,51,1130,3328,1660,10
46,1,22,33,171,34,1112,3196,2074,21
54,2,83,42,150,40,1400,5043,1750,5
25,21,82,6,157,29,1199,5080,2326,24
55,18,22,25,135,43,612,3435,1846,21
59,6,70,39,117,51,856,4384,1712,2
2,9,47,1,108,55,1272,4420,1136,2
50,19,66,10,101,45,640,4977,1244,14
25,16,45,7,159,15,1466,4205,1333,19
17,17,20,19,146,29,1321,3062,1077,24
22,14,68,45,191,37,942,4794,1841,11
7,9,39,11,173,54,1208,4305,1996,12
19,5,62,2,195,35,1428,3675,2383,20
59,24,42,12,182,13,1097,5856,1614,14
6,17,57,27,115,31,1489,3028,1924,19
46,12,17,12,115,17,744,3947,2028,12
39,8,10,10,118,55,1479,3520,1069,5
34,6,30,39,186,32,1048,4530,1079,5
14,17,65,14,128,56,1368,5525,2016,24
36,23,14,0,172,55,1355,3162,1201,4
5,3,34,36,113,47,505,5343,2008,24
37,15,66,47,143,22,561,3075,1268,24
51,3,60,20,110,40,609,4741,2096,19
52,4,55,9,158,42,937,3147,1679,5
19,24,63,16,138,58,526,4906,2428,23
46,4,40,3,153,21,843,5232,2321,3
11,3,66,49,138,16,572,4628,2107,19
34,1,73,12,121,44,757,4026,1918,24
4,9,23,3,132,24,1478,5294,1088,17
51,8,38,23,125,15,1289,4459,1639,19
58,22,46,9,198,34,1263,5024,1919,4
44,6,26,8,122,42,1101,4283,1243,2
36,16,55,29,189,56,563,4020,2030,21
55,10,61,39,180,27,908,3329,1874,8
40,18,55,38,161,43,1217,4970,2134,20
55,9,72,6,110,54,980,5631,1521,3
50,11,22,25,180,41,1166,5065,1188,7
28,9,65,13,157,35,814,5367,1033,6
59,17,34,46,111,32,942,3975,1237,2
33,3,71,35,110,37,906,5321,1429,24
0,1,95,10,135,50,1323,4855,2330,3
41,4,54,37,131,39,780,3326,2162,17
8,2,74,25,125,44,921,4207,1087,1
30,2,37,12,117,41,721,5882,1313,5
52,11,88,45,184,27,766,3180,2351,14
42,4,36,25,133,23,851,5903,2129,12
33,16,39,24,124,46,1185,4635,1256,9
43,11,14,34,195,43,1499,3306,2140,5
31,9,64,2,148,28,513,3048,1403,20
2,1,39,48,177,43,1022,3884,1499,16
14,20,16,37,159,26,1441,5095,1708,20
46,11,89,25,180,30,501,4667,1551,15
43,22,38,49,193,38,1039,5471,1877,21
55,22,83,2,190,23,981,4735,1008,16
35,6,47,7,175,47,766,5303,1823,4
37,16,98,13,195,17,1195,3174,2000,20
50,4,48,0,133,42,995,5200,2222,18
55,16,21,29,159,24,909,3629,1120,4
55,4,43,0,114,21,864,4802,1770,20
24,2,11,4,165,10,1346,3670,2487,10
16,17,55,34,195,26,1497,5384,2109,11
21,23,64,17,170,22,1344,4905,1689,5
25,5,73,42,184,44,883,3846,1711,18
14,6,11,42,141,54,1158,5560,2391,19
32,12,28,24,141,28,976,3181,2443,2
0,0,96,44,163,59,1113,3970,1709,4
44,7,18,18,182,55,795,5224,1863,13
8,15,77,15,133,31,1483,3184,2390,18
50,3,30,36,137,14,589,3293,1711,5
44,8,26,20,190,50,1319,4640,2156,24
5,9,49,41,171,50,1343,5016,1895,3
55,11,76,47,143,36,1095,3617,2480,6
14,15,43,42,192,24,1195,5448,2184,24
17,0,17,6,182,18,1395,5908,1430,12
57,22,23,37,115,21,542,5293,1171,2
19,22,77,33,110,55,1020,4922,1583,24
22,20,71,48,141,16,891,4814,1950,13
1,2,41,37,114,28,1218,3167,1388,12
23,22,61,44,173,55,751,3754,1336,15
0,11,94,12,159,25,938,3823,1753,13
48,2,64,39,191,48,1112,5355,1306,9
50,18,25,26,189,57,1290,3849,1465,7
45,8,51,24,142,51,1304,5294,2252,21
42,14,53,35,156,45,636,5831,1972,21
44,12,29,40,123,57,1293,4118,2478,20
4,20,48,14,118,10,973,3524,1897,1
10,22,52,46,166,51,699,4514,1764,21
29,22,83,20,169,15,535,4796,1044,14
34,18,58,41,148,16,1093,3466,1196,13
29,1,50,9,107,18,795,3417,1036,3
26,15,78,33,191,38,1359,5171,2325,5
0,12,48,49,135,22,1270,3904,2079,17
46,3,94,38,118,50,1184,3241,1610,5
19,0,43,16,159,36,817,3375,1752,21
30,13,66,19,183,50,949,4563,1955,3
48,11,25,5,136,22,1338,3107,2069,23
28,9,54,38,197,17,599,5868,2046,23
26,24,94,4,171,24,1057,3266,1442,2
36,1,28,31,104,58,1254,5848,1047,3
44,3,31,49,178,53,806,3992,1069,14
32,20,54,36,189,12,644,4397,1111,7
28,14,12,23,146,24,981,3817,1616,14
49,24,35,31,132,59,626,4306,1017,7
26,2,62,44,180,40,1086,5090,2455,24
15,24,16,1,115,29,1373,4482,1637,19
5,2,62,47,106,25,1058,3892,1091,1
20,13,17,20,157,40,988,4535,2295,23
48,1,98,5,161,51,764,5618,1288,13
32,14,72,27,153,41,627,5293,1972,21
13,2,34,26,110,20,1373,3200,1271,23
8,4,27,19,113,50,1402,5587,1666,7
38,14,64,8,146,28,1499,5659,1270,5
42,12,94,9,137,48,629,5376,1616,19
34,1,55,9,187,49,1306,4448,1026,24
23,5,55,4,181,42,1201,5041,2447,1
13,9,31,26,166,24,983,5785,1788,18
50,13,28,21,198,35,1151,3438,1694,12
53,14,30,26,166,42,1271,5931,2157,11
15,2,32,13,141,32,683,4011,1513,2
4,22,94,9,171,15,960,3114,1558,7
44,21,52,20,180,55,1236,3079,1782,19
34,22,20,45,115,44,521,5554,1462,20
22,16,18,17,179,19,1364,4092,1164,11
45,1,43,9,151,19,1312,4797,2361,17
19,15,32,14,199,14,1486,3457,2068,6
8,14,48,30,188,32,1009,4296,2395,6
53,7,31,6,159,24,800,5249,2340,2
35,16,66,41,155,42,1204,4959,2369,8
41,21,49,40,161,39,911,5893,1865,12
54,16,43,36,180,27,1322,3110,1313,1
58,14,70,40,143,45,964,4636,1671,16
41,14,70,36,123,21,1295,3062,1571,11
47,17,39,15,141,43,1340,3407,1958,9
39,22,13,46,178,44,663,5264,2325,12
57,3,48,23,165,24,1193,5357,1384,22
49,17,34,35,126,10,1008,3714,1288,3
27,1,71,47,112,22,1399,4203,1807,4
18,16,93,43,134,32,914,3110,2226,12
3,22,94,27,175,37,692,5162,2040,7
28,2,60,22,104,49,862,3912,2284,18
14,8,84,16,134,53,1046,5082,2080,1
49,19,99,33,129,53,740,3303,1033,10
38,14,43,49,122,36,600,4083,2121,6
55,8,24,49,115,29,874,3724,1469,3
39,20,84,14,100,24,668,4794,2043,7
1,24,38,47,157,55,777,3450,2110,20
58,16,24,22,106,26,629,4006,1465,14
23,4,80,6,197,50,1013,4410,2198,4
1,22,79,11,135,13,751,3332,2284,23
28,12,31,45,101,39,865,4196,1886,13
40,5,54,47,181,38,1246,3182,1038,7
14,20,55,21,119,11,723,5975,2164,22
52,4,98,28,151,43,1093,5159,2284,6
32,0,25,0,127,53,1355,5748,2170,14
38,22,89,37,113,30,1437,3671,2052,8
15,0,59,8,159,51,506,4166,2378,10
58,9,54,25,163,52,603,5373,1836,3
27,20,89,31,182,43,1470,3845,1558,24
30,3,86,31,101,52,1025,4730,1427,14
0,22,65,9,171,21,573,4903,1256,2
48,21,44,13,160,22,642,3813,1798,1
20,16,44,20,189,36,738,3150,1935,9
47,18,62,19,141,22,545,3133,1595,13
