Crime Type,Hour of the day,Longitude,Latitude,Neighborhood
theft,19,-93.225471,44.97374,PROSPECT PARK - EAST RIVER ROAD
theft,0,-93.240677,44.948502,EAST PHILLIPS
theft,8,-93.262558,44.962711,VENTURA VILLAGE
burglary,21,-93.271339,44.98045,DOWNTOWN WEST
murder,21,-93.293144,45.00418104,NEAR - NORTH
theft,17,-93.284592,44.96114,WHITTIER
theft,0,-93.302834,44.992481,WILLARD - HAY
burglary,16,-93.213539,44.910969,MINNEHAHA
theft,23,-93.295357,44.957001,LOWRY HILL EAST
murder,20,-93.29899799,45.00137807,FOLWELL
theft,7,-93.325508,44.91972,LINDEN HILLS
theft,21,-93.273857,44.974979,DOWNTOWN WEST
murder,1,-93.29554209,45.0093681,FOLWELL
theft,21,-93.294121,44.999161,HAWTHORNE
murder,21,-93.2888417,45.01631632,NEAR - NORTH
murder,0,-93.23247865,44.95222551,SEWARD
theft,14,-93.247551,45.004822,NORTHEAST PARK
theft,0,-93.271744,45.013161,BOTTINEAU
burglary,22,-93.245529,44.933868,STANDISH
theft,19,-93.278099,44.978371,DOWNTOWN WEST
theft,8,-93.2966,44.954029,LOWRY HILL EAST
theft,17,-93.280792,44.98988,NORTH LOOP
assault,12,-93.284576,45.005001,HAWTHORNE
theft,20,-93.262917,44.937611,CENTRAL
theft,20,-93.228127,45.004391,NORTHEAST PARK
theft,11,-93.277763,44.949291,WHITTIER
burglary,0,-93.270653,44.978802,DOWNTOWN WEST
burglary,21,-93.28833,45.036449,LIND - BOHANON
murder,20,-93.29557456,45.01008743,JORDAN
murder,2,-93.25421585,44.94191137,EAST PHILLIPS
theft,9,-93.291077,45.044071,LIND - BOHANON
theft,19,-93.257912,44.976959,DOWNTOWN EAST
theft,22,-93.26844,44.979221,DOWNTOWN WEST
burglary,12,-93.280373,44.97477,LORING PARK
theft,6,-93.251381,44.982979,MARCY HOLMES
murder,20,-93.24425916,44.95570407,HOWE
murder,21,-93.23704438,44.95373535,CEDAR RIVERSIDE
theft,10,-93.22364,44.974319,PROSPECT PARK - EAST RIVER ROAD
burglary,12,-93.291451,45.004131,HAWTHORNE
theft,12,-93.246872,44.970718,CEDAR RIVERSIDE
theft,17,-93.247551,45.004841,NORTHEAST PARK
murder,1,-93.22823298,44.93841225,WENONAH
burglary,1,-93.214371,44.944481,COOPER
murder,19,-93.30314198,45.01408409,NEAR - NORTH
burglary,11,-93.280861,44.951221,WHITTIER
burglary,20,-93.278152,44.96801,LORING PARK
burglary,3,-93.236992,45.007702,WINDOM PARK
theft,0,-93.276947,44.964939,STEVENS SQUARE - LORING HEIGHTS
murder,2,-93.27093902,44.96788593,STEVENS SQUARE - LORING HEIGHTS
theft,5,-93.268517,44.968319,ELLIOT PARK
theft,20,-93.266281,44.96487,VENTURA VILLAGE
murder,17,-93.25656184,44.94650312,PHILLIPS WEST
theft,22,-93.307892,45.016041,FOLWELL
murder,22,-93.24270256,44.94388142,WENONAH
theft,20,-93.247726,44.972759,CEDAR RIVERSIDE
theft,9,-93.306068,44.992802,WILLARD - HAY
murder,1,-93.28130666,44.94853101,DOWNTOWN WEST
burglary,4,-93.288612,44.939781,CARAG
murder,1,-93.26030944,44.96026301,WHITTIER
theft,18,-93.259117,44.979271,DOWNTOWN WEST
burglary,1,-93.272537,44.981239,DOWNTOWN WEST
burglary,2,-93.234108,44.982311,MARCY HOLMES
theft,17,-93.267212,44.939991,CENTRAL
theft,14,-93.235786,44.954399,SEWARD
theft,23,-93.272141,44.981201,DOWNTOWN WEST
theft,18,-93.285973,44.94017,LYNDALE
theft,0,-93.273369,44.98629,NORTH LOOP
murder,13,-93.28058071,44.95869804,WHITTIER
theft,9,-93.27198,44.979198,DOWNTOWN WEST
burglary,20,-93.21244,44.948101,COOPER
theft,18,-93.273682,44.971722,DOWNTOWN WEST
theft,23,-93.256088,45.003441,LOGAN PARK
theft,10,-93.271408,44.977859,DOWNTOWN WEST
burglary,4,-93.247253,44.970219,CEDAR RIVERSIDE
burglary,13,-93.271141,44.956902,WHITTIER
theft,16,-93.236366,44.949348,LONGFELLOW
theft,16,-93.275978,44.975449,DOWNTOWN WEST
burglary,15,-93.268349,44.954609,PHILLIPS WEST
theft,13,-93.279129,44.94931,WHITTIER
theft,13,-93.243622,44.945671,CORCORAN
theft,18,-93.230621,44.962479,SEWARD
theft,13,-93.273857,44.974979,DOWNTOWN WEST
theft,11,-93.262062,44.98048,DOWNTOWN WEST
burglary,21,-93.298576,44.992298,NEAR - NORTH
assault,18,-93.274078,44.953732,WHITTIER
murder,20,-93.29862738,45.00696819,FOLWELL
theft,2,-93.292992,44.934231,EAST HARRIET
murder,2,-93.27045205,44.96238671,WHITTIER
theft,22,-93.319077,45.045399,SHINGLE CREEK
theft,0,-93.271751,44.979408,DOWNTOWN WEST
murder,19,-93.29995696,45.01383878,FOLWELL
theft,15,-93.254967,44.976589,DOWNTOWN EAST
murder,21,-93.29887627,45.0162997,JORDAN
theft,21,-93.293449,44.96386,LOWRY HILL
theft,1,-93.284752,44.999401,HAWTHORNE
theft,3,-93.28511,44.962502,WHITTIER
theft,2,-93.272453,44.98069,DOWNTOWN WEST
murder,19,-93.30209241,45.01102417,JORDAN
murder,21,-93.2800898,44.92651794,CARAG
theft,23,-93.2771,44.97678,DOWNTOWN WEST
murder,19,-93.30224421,45.01541412,JORDAN
theft,13,-93.253532,44.986111,MARCY HOLMES
assault,21,-93.294121,44.999161,JORDAN
assault,10,-93.290154,45.043911,LIND - BOHANON
theft,21,-93.22995,44.918839,ERICSSON
theft,14,-93.236961,44.963058,SEWARD
theft,23,-93.224091,44.972019,PROSPECT PARK - EAST RIVER ROAD
theft,23,-93.257332,44.901031,DIAMOND LAKE
theft,11,-93.219643,44.948551,LONGFELLOW
theft,15,-93.279457,44.9753,DOWNTOWN WEST
murder,20,-93.2992196,44.95301428,CARAG
theft,8,-93.240883,44.987591,MARCY HOLMES
burglary,8,-93.209167,44.948078,COOPER
theft,13,-93.213081,44.916752,HIAWATHA
murder,15,-93.23013205,44.9402163,HOWE
murder,12,-93.30006776,45.01020834,LIND - BOHANON
murder,18,-93.27989797,44.99515051,HAWTHORNE
burglary,10,-93.308594,44.997101,WILLARD - HAY
burglary,10,-93.265938,44.932098,BRYANT
theft,17,-93.247177,45.006828,WINDOM PARK
burglary,3,-93.262672,44.94836,PHILLIPS WEST
murder,21,-93.29375879,45.00677404,NEAR - NORTH
theft,20,-93.246368,44.983269,MARCY HOLMES
theft,17,-93.273727,44.943531,CENTRAL
murder,1,-93.27271651,44.97959035,WHITTIER
theft,18,-93.325539,44.906849,FULTON
assault,19,-93.231216,44.947262,LONGFELLOW
burglary,22,-93.262657,44.946541,CENTRAL
burglary,14,-93.297211,45.019699,FOLWELL
burglary,18,-93.275368,44.97604,DOWNTOWN WEST
theft,11,-93.307877,45.014832,FOLWELL
theft,22,-93.273209,44.946018,CENTRAL
theft,12,-93.271568,44.976929,DOWNTOWN WEST
theft,16,-93.295357,44.957001,LOWRY HILL EAST
theft,21,-93.24575,44.981979,MARCY HOLMES
burglary,11,-93.297562,44.908199,LYNNHURST
theft,0,-93.302437,44.980518,HARRISON
theft,12,-93.228127,45.004391,NORTHEAST PARK
burglary,2,-93.291451,44.960499,LOWRY HILL EAST
theft,7,-93.276093,44.97958,DOWNTOWN WEST
burglary,11,-93.28788,44.898651,WINDOM
theft,22,-93.283653,44.950821,WHITTIER
theft,0,-93.246407,44.956219,EAST PHILLIPS
theft,3,-93.266777,44.97924,DOWNTOWN WEST
theft,14,-93.236366,44.949348,LONGFELLOW
burglary,22,-93.291428,45.00927,HAWTHORNE
theft,0,-93.255821,45.03331,COLUMBIA PARK
theft,17,-93.240509,44.962528,SEWARD
theft,18,-93.218407,44.920261,HIAWATHA
burglary,15,-93.297203,45.02364,FOLWELL
theft,1,-93.272781,44.980141,DOWNTOWN WEST
burglary,12,-93.257347,45.003502,LOGAN PARK
theft,18,-93.24762,44.91655,NORTHROP
burglary,2,-93.230667,44.94804,LONGFELLOW
theft,15,-93.216949,44.93631,HOWE
murder,11,-93.29187415,45.01332835,WEBBER - CAMDEN
burglary,12,-93.260094,44.910679,HALE
burglary,12,-93.29026,45.027328,WEBBER - CAMDEN
theft,16,-93.272926,44.976681,DOWNTOWN WEST
theft,11,-93.272781,44.980141,DOWNTOWN WEST
theft,12,-93.275017,44.974751,DOWNTOWN WEST
burglary,17,-93.31974,44.908691,FULTON
burglary,17,-93.257431,44.96846,ELLIOT PARK
burglary,16,-93.272301,44.946499,CENTRAL
murder,21,-93.24558571,44.95727073,LONGFELLOW
theft,17,-93.230858,44.99884,MID - CITY INDUSTRIAL
theft,2,-93.304451,45.013222,JORDAN
burglary,2,-93.283348,44.973381,LORING PARK
theft,22,-93.264671,44.96825,ELLIOT PARK
theft,20,-93.221771,44.986481,COMO
theft,22,-93.308243,45.03521,VICTORY
theft,13,-93.324287,44.911121,FULTON
theft,0,-93.319511,44.949402,CEDAR - ISLES - DEAN
theft,12,-93.309441,45.033619,VICTORY
theft,0,-93.276993,44.937901,LYNDALE
theft,21,-93.226738,44.98539,COMO
theft,0,-93.229698,45.00288,NORTHEAST PARK
theft,16,-93.262558,44.962711,VENTURA VILLAGE
theft,16,-93.30069,44.994141,NEAR - NORTH
theft,19,-93.230698,44.96294,SEWARD
murder,1,-93.2720886,44.97617331,STEVENS SQUARE - LORING HEIGHTS
burglary,13,-93.295776,45.03545,WEBBER - CAMDEN
theft,23,-93.271988,44.980499,DOWNTOWN WEST
theft,22,-93.28846,44.95702,LOWRY HILL EAST
burglary,15,-93.211128,44.897331,MORRIS PARK
theft,9,-93.230843,44.92905,STANDISH
burglary,18,-93.235672,44.951511,LONGFELLOW
assault,1,-93.27327,44.980499,DOWNTOWN WEST
murder,1,-93.30527087,44.99497444,WILLARD - HAY
assault,21,-93.268051,44.939758,CENTRAL
murder,20,-93.27003181,44.93940386,PHILLIPS WEST
theft,0,-93.274429,44.953941,WHITTIER
theft,11,-93.263229,44.980999,DOWNTOWN WEST
theft,19,-93.226334,44.987701,COMO
theft,15,-93.278267,44.965069,STEVENS SQUARE - LORING HEIGHTS
theft,21,-93.233856,44.949459,LONGFELLOW
theft,17,-93.220978,44.97184,PROSPECT PARK - EAST RIVER ROAD
theft,16,-93.311348,45.006519,JORDAN
theft,17,-93.284637,45.00164,HAWTHORNE
murder,12,-93.30122634,45.00649964,JORDAN
theft,20,-93.276031,44.978741,DOWNTOWN WEST
theft,12,-93.251839,44.97654,DOWNTOWN EAST
theft,0,-93.293961,45.01646,FOLWELL
burglary,1,-93.273689,44.980419,DOWNTOWN WEST
theft,20,-93.262993,44.954109,PHILLIPS WEST
theft,23,-93.278313,44.974331,DOWNTOWN WEST
theft,19,-93.217613,44.987381,COMO
murder,22,-93.24612924,44.95219392,CEDAR RIVERSIDE
burglary,8,-93.312767,45.049061,SHINGLE CREEK
theft,20,-93.249947,44.988621,MARCY HOLMES
murder,21,-93.28985846,45.00762708,MCKINLEY
theft,14,-93.281013,44.9958,NEAR - NORTH
theft,18,-93.315147,45.027859,VICTORY
burglary,12,-93.311348,45.006519,JORDAN
theft,22,-93.297569,44.956291,EAST ISLES
theft,11,-93.283127,44.914169,TANGLETOWN
theft,12,-93.280037,45.00362,HAWTHORNE
theft,10,-93.222794,44.931862,HOWE
burglary,8,-93.275917,44.89801,WINDOM
theft,23,-93.273857,44.98048,DOWNTOWN WEST
theft,12,-93.259483,44.949329,MIDTOWN PHILLIPS
theft,0,-93.290138,44.934929,EAST HARRIET
theft,19,-93.272392,44.965069,STEVENS SQUARE - LORING HEIGHTS
burglary,4,-93.273689,44.980419,DOWNTOWN WEST
theft,11,-93.220741,44.94891,LONGFELLOW
burglary,13,-93.304779,45.006489,JORDAN
assault,0,-93.2771,44.97678,DOWNTOWN WEST
theft,19,-93.25206,44.98568,MARCY HOLMES
theft,0,-93.279762,44.978199,DOWNTOWN WEST
burglary,4,-93.258614,44.965,VENTURA VILLAGE
theft,21,-93.309258,44.975719,BRYN - MAWR
theft,0,-93.304131,44.986221,NEAR - NORTH
theft,17,-93.265289,44.968712,ELLIOT PARK
theft,19,-93.306602,45.009121,JORDAN
murder,6,-93.26652737,44.96228883,VENTURA VILLAGE
assault,23,-93.222488,44.910561,MINNEHAHA
murder,21,-93.29562282,45.00463257,JORDAN
burglary,8,-93.284683,44.94244,LYNDALE
burglary,20,-93.261688,44.943851,POWDERHORN PARK
theft,1,-93.281792,44.952431,WHITTIER
murder,3,-93.25267075,44.94007611,POWDERHORN PARK
theft,12,-93.266068,44.970798,ELLIOT PARK
assault,0,-93.275467,44.99231,NORTH LOOP
burglary,0,-93.248703,44.987888,MARCY HOLMES
theft,1,-93.267288,44.951221,PHILLIPS WEST
theft,13,-93.2892,44.998249,NEAR - NORTH
theft,21,-93.236366,44.949348,LONGFELLOW
theft,14,-93.311348,45.006519,JORDAN
theft,7,-93.289131,44.947048,CARAG
burglary,12,-93.275299,44.965221,STEVENS SQUARE - LORING HEIGHTS
theft,21,-93.296577,44.958939,EAST ISLES
theft,12,-93.275017,44.974751,DOWNTOWN WEST
theft,23,-93.280121,44.953362,WHITTIER
murder,21,-93.30617501,44.97863088,NEAR - NORTH
theft,14,-93.275513,44.975861,DOWNTOWN WEST
burglary,2,-93.283348,44.973381,LORING PARK
theft,14,-93.292824,44.948849,LOWRY HILL EAST
theft,8,-93.28508,44.990009,NORTH LOOP
theft,7,-93.293808,44.94957,LOWRY HILL EAST
theft,16,-93.298477,44.94772,CARAG
theft,12,-93.271568,44.976929,DOWNTOWN WEST
theft,20,-93.277763,44.949291,WHITTIER
murder,0,-93.23672626,44.95468566,SEWARD
assault,16,-93.293953,45.008549,HAWTHORNE
burglary,13,-93.296158,44.942558,CARAG
murder,21,-93.29046799,44.94518231,CENTRAL
murder,12,-93.27884981,44.95911515,WHITTIER
theft,8,-93.295639,45.001511,JORDAN
theft,15,-93.282661,44.966011,LORING PARK
burglary,11,-93.27285,44.948349,PHILLIPS WEST
theft,20,-93.235672,44.951511,LONGFELLOW
theft,5,-93.308647,44.981941,HARRISON
murder,14,-93.29547392,44.96779517,WHITTIER
theft,8,-93.230217,44.9632,SEWARD
murder,22,-93.25232135,44.95909008,VENTURA VILLAGE
murder,22,-93.25630495,44.96030341,VENTURA VILLAGE
burglary,0,-93.262978,44.942879,CENTRAL
theft,17,-93.272926,44.976681,DOWNTOWN WEST
theft,13,-93.286453,44.96711,LORING PARK
theft,13,-93.235672,44.951511,LONGFELLOW
theft,20,-93.272781,44.955528,WHITTIER
theft,14,-93.249603,45.032501,COLUMBIA PARK
assault,11,-93.2528,44.936722,POWDERHORN PARK
theft,14,-93.236282,44.98188,MARCY HOLMES
murder,2,-93.23902149,44.91717456,WENONAH
theft,0,-93.274849,44.978802,DOWNTOWN WEST
murder,3,-93.25410881,44.95427146,EAST PHILLIPS
theft,22,-93.293427,45.0219,FOLWELL
theft,23,-93.271858,44.960331,WHITTIER
assault,17,-93.240913,44.948502,EAST PHILLIPS
theft,0,-93.289658,45.023472,MCKINLEY
burglary,19,-93.251999,44.919849,NORTHROP
theft,21,-93.247971,44.898399,DIAMOND LAKE
theft,11,-93.272926,44.976681,DOWNTOWN WEST
theft,12,-93.274834,44.979591,DOWNTOWN WEST
murder,16,-93.30553553,44.98875954,JORDAN
theft,14,-93.272926,44.976681,DOWNTOWN WEST
theft,11,-93.254539,44.969379,ELLIOT PARK
theft,12,-93.296494,45.019909,FOLWELL
murder,1,-93.30352941,45.00576199,WILLARD - HAY
theft,0,-93.291428,45.01392,MCKINLEY
burglary,0,-93.249939,44.951962,EAST PHILLIPS
theft,23,-93.259193,44.94669,POWDERHORN PARK
theft,21,-93.251343,44.99535,ST ANTHONY EAST
burglary,20,-93.27446,44.977089,DOWNTOWN WEST
assault,20,-93.252457,44.964039,VENTURA VILLAGE
theft,10,-93.266853,44.96117,VENTURA VILLAGE
burglary,1,-93.277809,44.965221,STEVENS SQUARE - LORING HEIGHTS
burglary,8,-93.305359,45.016209,FOLWELL
theft,15,-93.297737,45.012009,JORDAN
theft,18,-93.324951,44.964531,BRYN - MAWR
theft,17,-93.275978,44.975449,DOWNTOWN WEST
theft,1,-93.243156,44.960949,SEWARD
murder,22,-93.25247214,44.96403219,CEDAR RIVERSIDE
burglary,18,-93.254082,44.985031,MARCY HOLMES
theft,0,-93.223328,44.89954,WENONAH
theft,5,-93.20784,44.920109,HIAWATHA
theft,0,-93.276688,45.00325,HAWTHORNE
theft,23,-93.285622,44.971611,LORING PARK
burglary,18,-93.230377,44.95575,SEWARD
assault,4,-93.292183,44.963089,LOWRY HILL
theft,16,-93.261658,44.948071,POWDERHORN PARK
burglary,20,-93.28875,44.99715,NEAR - NORTH
theft,21,-93.264816,45.004101,SHERIDAN
burglary,21,-93.249527,44.952122,EAST PHILLIPS
theft,18,-93.310287,44.909111,FULTON
theft,22,-93.216919,44.95097,COOPER
theft,8,-93.248741,44.985321,MARCY HOLMES
murder,22,-93.25497087,44.95775059,EAST PHILLIPS
theft,18,-93.289284,44.96772,LOWRY HILL
theft,17,-93.298317,44.944729,ECCO
theft,13,-93.209129,44.946331,COOPER
theft,22,-93.258698,44.999279,SHERIDAN
murder,22,-93.29675341,45.01420444,HAWTHORNE
theft,21,-93.276093,44.97958,DOWNTOWN WEST
theft,13,-93.254303,44.929619,BANCROFT
assault,2,-93.234589,44.963661,SEWARD
disarmament,10,-93.26572197,44.96971428,DOWNTOWN WEST
burglary,0,-93.270187,44.981281,DOWNTOWN WEST
burglary,15,-93.223938,44.940231,HOWE
murder,20,-93.26909764,44.94114338,CENTRAL
theft,8,-93.2892,44.998249,NEAR - NORTH
theft,18,-93.296921,44.94939,LOWRY HILL EAST
theft,19,-93.24707,45.034931,WAITE PARK
theft,22,-93.279221,44.93998,LYNDALE
theft,8,-93.281059,44.972599,LORING PARK
assault,8,-93.293823,44.99509,NEAR - NORTH
theft,17,-93.277878,44.982021,NORTH LOOP
theft,0,-93.259651,44.95631,MIDTOWN PHILLIPS
theft,18,-93.279121,44.960602,WHITTIER
theft,22,-93.26503,44.982231,DOWNTOWN WEST
theft,8,-93.275017,44.974751,DOWNTOWN WEST
murder,19,-93.28878434,44.99757753,JORDAN
assault,5,-93.307907,45.021358,FOLWELL
theft,12,-93.236366,44.949348,LONGFELLOW
theft,23,-93.288277,44.967152,LOWRY HILL
theft,0,-93.291641,44.940239,CARAG
theft,22,-93.275398,44.944969,LYNDALE
theft,12,-93.311241,44.985802,WILLARD - HAY
theft,11,-93.276398,44.97205,LORING PARK
theft,10,-93.266518,44.971062,ELLIOT PARK
theft,19,-93.277763,44.949291,WHITTIER
burglary,17,-93.266434,44.970211,ELLIOT PARK
theft,2,-93.252136,44.989922,MARCY HOLMES
burglary,20,-93.214417,44.921711,HIAWATHA
burglary,23,-93.285172,45.011662,HAWTHORNE
murder,2,-93.30379434,44.99901425,FOLWELL
theft,7,-93.273529,44.976978,DOWNTOWN WEST
theft,11,-93.2724,44.976971,DOWNTOWN WEST
burglary,14,-93.262108,44.934952,POWDERHORN PARK
theft,3,-93.29361,45.041309,LIND - BOHANON
assault,6,-93.280571,44.999401,HAWTHORNE
burglary,18,-93.321716,44.906288,FULTON
burglary,0,-93.232674,44.903648,WENONAH
burglary,0,-93.299377,45.014992,FOLWELL
burglary,18,-93.26812,44.944069,CENTRAL
theft,2,-93.235893,44.98069,MARCY HOLMES
theft,14,-93.293671,44.981628,SUMNER - GLENWOOD
burglary,4,-93.224533,44.898331,WENONAH
burglary,14,-93.223038,44.93362,HOWE
theft,23,-93.250671,44.969318,CEDAR RIVERSIDE
murder,20,-93.26871463,44.94185659,CENTRAL
assault,20,-93.274788,44.977982,DOWNTOWN WEST
theft,13,-93.266068,44.967819,ELLIOT PARK
theft,0,-93.278023,44.912769,TANGLETOWN
theft,0,-93.272751,44.962688,WHITTIER
murder,6,-93.26688352,44.96174441,STEVENS SQUARE - LORING HEIGHTS
theft,18,-93.297607,44.950562,LOWRY HILL EAST
theft,22,-93.272568,44.97958,DOWNTOWN WEST
burglary,8,-93.267151,44.926231,REGINA
theft,5,-93.290833,44.982761,SUMNER - GLENWOOD
burglary,20,-93.245232,44.94492,CORCORAN
burglary,23,-93.310242,45.048939,SHINGLE CREEK
theft,12,-93.218407,44.920261,HIAWATHA
theft,17,-93.27166,44.97649,DOWNTOWN WEST
theft,13,-93.261078,44.962711,VENTURA VILLAGE
theft,23,-93.326889,44.947071,WEST CALHOUN
theft,13,-93.263039,44.949921,PHILLIPS WEST
burglary,4,-93.227463,44.948978,LONGFELLOW
theft,14,-93.239304,44.947418,CORCORAN
theft,23,-93.279762,44.978199,DOWNTOWN WEST
murder,1,-93.27446767,44.96525597,STEVENS SQUARE - LORING HEIGHTS
assault,23,-93.224701,44.921928,ERICSSON
murder,13,-93.28065027,44.95872813,VENTURA VILLAGE
theft,6,-93.271744,45.013161,BOTTINEAU
burglary,13,-93.282692,44.971489,LORING PARK
theft,0,-93.31427,44.950409,CEDAR - ISLES - DEAN
theft,0,-93.295929,45.008999,JORDAN
burglary,6,-93.282257,44.900349,WINDOM
theft,17,-93.251991,45.012039,HOLLAND
theft,20,-93.28653,44.940048,LYNDALE
theft,2,-93.289238,45.043659,LIND - BOHANON
theft,0,-93.250023,44.983421,MARCY HOLMES
theft,18,-93.302483,44.948078,ECCO
theft,23,-93.24733,44.957329,EAST PHILLIPS
murder,1,-93.2998906,44.99688607,WILLARD - HAY
assault,22,-93.273064,44.975922,DOWNTOWN WEST
burglary,11,-93.278328,44.928009,KING FIELD
murder,23,-93.29471484,44.94143293,KING FIELD
theft,18,-93.233551,44.98127,MARCY HOLMES
burglary,20,-93.215172,44.970131,PROSPECT PARK - EAST RIVER ROAD
murder,2,-93.28835262,44.99991818,WILLARD - HAY
theft,0,-93.294312,45.007751,HAWTHORNE
theft,22,-93.317802,45.03215,VICTORY
murder,21,-93.297729,45.020519,FOLWELL
burglary,20,-93.235031,44.929039,STANDISH
murder,21,-93.29241386,45.00181559,HAWTHORNE
theft,12,-93.290253,44.955292,LOWRY HILL EAST
theft,18,-93.224098,44.935081,HOWE
assault,1,-93.236839,44.986229,MARCY HOLMES
burglary,3,-93.27021,45.02084,MARSHALL TERRACE
theft,17,-93.233543,44.955391,SEWARD
burglary,21,-93.240639,44.92812,STANDISH
assault,1,-93.25766,45.035412,COLUMBIA PARK
theft,22,-93.23349,44.98904,COMO
murder,5,-93.26173907,44.98405199,HOLLAND
burglary,23,-93.22921,44.929798,STANDISH
burglary,18,-93.306038,45.007309,JORDAN
burglary,23,-93.210838,44.935081,HOWE
murder,0,-93.30426947,45.01579467,JORDAN
murder,3,-93.3005502,45.00640634,WILLARD - HAY
assault,12,-93.308952,45.015961,CLEVELAND
murder,15,-93.30732356,44.98784012,JORDAN
theft,15,-93.298714,44.942459,ECCO
theft,18,-93.236397,44.982189,MARCY HOLMES
theft,16,-93.247543,44.901421,DIAMOND LAKE
burglary,21,-93.279671,44.95195,WHITTIER
murder,19,-93.29489618,45.00311301,HAWTHORNE
theft,13,-93.321968,44.946819,WEST CALHOUN
theft,21,-93.259659,44.956059,MIDTOWN PHILLIPS
murder,19,-93.2663737,44.9462156,CENTRAL
theft,16,-93.275978,44.975449,DOWNTOWN WEST
theft,0,-93.219414,44.92131,HIAWATHA
murder,21,-93.23521146,44.95038749,LONGFELLOW
burglary,2,-93.259064,44.934391,POWDERHORN PARK
