country,year,sex,age,population,suicides_no
Albania,1991,female,55-74 years,160800,0
Albania,1991,female,75+ years,38300,0
Albania,1991,male,15-24 years,302200,0
Albania,1991,male,25-34 years,276900,0
Albania,1991,male,35-54 years,342600,0
Albania,1991,male,5-14 years,359500,0
Albania,1991,male,55-74 years,154800,0
Albania,1991,male,75+ years,23600,0
Albania,1992,female,15-24 years,292400,7
Albania,1992,female,25-34 years,267400,4
Albania,1992,female,35-54 years,323100,2
Albania,1992,female,5-14 years,336700,0
Albania,1992,female,55-74 years,164900,1
Albania,1992,female,75+ years,38700,0
Albania,1992,male,15-24 years,263700,9
Albania,1992,male,25-34 years,245500,7
Albania,1992,male,35-54 years,343800,12
Albania,1992,male,5-14 years,362900,0
Albania,1992,male,55-74 years,159500,5
Albania,1992,male,75+ years,23900,0
Albania,1993,female,15-24 years,285300,10
Albania,1993,female,25-34 years,261800,7
Albania,1993,female,35-54 years,331200,7
Albania,1993,female,5-14 years,340300,1
Albania,1993,female,55-74 years,169500,2
Albania,1993,female,75+ years,39300,0
Albania,1993,male,15-24 years,243300,18
Albania,1993,male,25-34 years,230100,9
Albania,1993,male,35-54 years,350300,10
Albania,1993,male,5-14 years,367000,1
Albania,1993,male,55-74 years,165000,7
Albania,1993,male,75+ years,24200,1
Albania,1994,female,15-24 years,282600,6
Albania,1994,female,25-34 years,261100,4
Albania,1994,female,35-54 years,342500,2
Albania,1994,female,5-14 years,344400,0
Albania,1994,female,55-74 years,174600,1
Albania,1994,female,75+ years,39900,2
Albania,1994,male,15-24 years,242200,6
Albania,1994,male,25-34 years,231400,6
Albania,1994,male,35-54 years,362800,9
Albania,1994,male,5-14 years,371800,1
Albania,1994,male,55-74 years,171400,11
Albania,1994,male,75+ years,24600,2
Albania,1995,female,15-24 years,283500,13
Albania,1995,female,25-34 years,264000,7
Albania,1995,female,35-54 years,356400,8
Albania,1995,female,5-14 years,348700,2
Albania,1995,female,55-74 years,180400,2
Albania,1995,female,75+ years,40800,2
Albania,1995,male,15-24 years,241200,11
Albania,1995,male,25-34 years,232900,13
Albania,1995,male,35-54 years,375900,14
Albania,1995,male,5-14 years,376500,6
Albania,1995,male,55-74 years,178000,9
Albania,1995,male,75+ years,25100,1
Albania,1996,female,15-24 years,287700,16
Albania,1996,female,25-34 years,267900,10
Albania,1996,female,35-54 years,362000,9
Albania,1996,female,5-14 years,354100,1
Albania,1996,female,55-74 years,183100,1
Albania,1996,female,75+ years,41200,2
Albania,1996,male,15-24 years,243600,17
Albania,1996,male,25-34 years,235300,14
Albania,1996,male,35-54 years,379600,12
Albania,1996,male,5-14 years,380400,2
Albania,1996,male,55-74 years,179900,3
Albania,1996,male,75+ years,25400,2
Albania,1997,female,15-24 years,294000,21
Albania,1997,female,25-34 years,273900,16
Albania,1997,female,35-54 years,370100,7
Albania,1997,female,5-14 years,361800,6
Albania,1997,female,55-74 years,187000,0
Albania,1997,female,75+ years,42100,2
Albania,1997,male,15-24 years,244400,33
Albania,1997,male,25-34 years,236000,36
Albania,1997,male,35-54 years,380800,30
Albania,1997,male,5-14 years,381500,4
Albania,1997,male,55-74 years,180300,12
Albania,1997,male,75+ years,25400,3
Albania,1998,female,15-24 years,295600,32
Albania,1998,female,25-34 years,275300,10
Albania,1998,female,35-54 years,372100,9
Albania,1998,female,5-14 years,363800,1
Albania,1998,female,55-74 years,188200,6
Albania,1998,female,75+ years,42300,0
Albania,1998,male,15-24 years,248800,27
Albania,1998,male,25-34 years,240400,26
Albania,1998,male,35-54 years,388200,29
Albania,1998,male,5-14 years,388400,2
Albania,1998,male,55-74 years,183800,9
Albania,1998,male,75+ years,25800,3
Albania,1999,female,15-24 years,296800,19
Albania,1999,female,25-34 years,276500,13
Albania,1999,female,35-54 years,373600,5
Albania,1999,female,5-14 years,365200,1
Albania,1999,female,55-74 years,188800,6
Albania,1999,female,75+ years,42400,4
Albania,1999,male,15-24 years,250600,24
Albania,1999,male,25-34 years,242300,19
Albania,1999,male,35-54 years,391100,31
Albania,1999,male,5-14 years,391300,0
Albania,1999,male,55-74 years,185200,14
Albania,1999,male,75+ years,25900,3
Albania,2000,female,15-24 years,263900,6
Albania,2000,female,25-34 years,245800,3
Albania,2000,female,35-54 years,332200,5
Albania,2000,female,5-14 years,324700,0
Albania,2000,female,55-74 years,168000,0
Albania,2000,female,75+ years,37800,2
Albania,2000,male,15-24 years,240000,5
Albania,2000,male,25-34 years,232000,17
Albania,2000,male,35-54 years,374700,4
Albania,2000,male,5-14 years,374900,1
Albania,2000,male,55-74 years,177400,10
Albania,2000,male,75+ years,24900,1
Albania,2001,female,15-24 years,271359,9
Albania,2001,female,25-34 years,222771,4
Albania,2001,female,35-54 years,370191,12
Albania,2001,female,5-14 years,307356,2
Albania,2001,female,55-74 years,189799,6
Albania,2001,female,75+ years,47254,2
Albania,2001,male,15-24 years,256039,10
Albania,2001,male,25-34 years,206484,22
Albania,2001,male,35-54 years,378826,34
Albania,2001,male,5-14 years,321556,6
Albania,2001,male,55-74 years,196670,11
Albania,2001,male,75+ years,31044,1
Albania,2002,female,15-24 years,275970,14
Albania,2002,female,25-34 years,223685,7
Albania,2002,female,35-54 years,375113,15
Albania,2002,female,5-14 years,304850,1
Albania,2002,female,55-74 years,191712,4
Albania,2002,female,75+ years,47407,1
Albania,2002,male,15-24 years,263067,15
Albania,2002,male,25-34 years,206286,23
Albania,2002,male,35-54 years,382139,35
Albania,2002,male,5-14 years,319473,1
Albania,2002,male,55-74 years,198130,13
Albania,2002,male,75+ years,31007,4
Albania,2003,female,15-24 years,283709,14
Albania,2003,female,25-34 years,222941,9
Albania,2003,female,35-54 years,381760,13
Albania,2003,female,5-14 years,298477,0
Albania,2003,female,55-74 years,195699,9
Albania,2003,female,75+ years,49088,6
Albania,2003,male,15-24 years,273235,15
Albania,2003,male,25-34 years,205433,9
Albania,2003,male,35-54 years,386196,28
Albania,2003,male,5-14 years,313204,4
Albania,2003,male,55-74 years,201520,16
Albania,2003,male,75+ years,32667,1
Albania,2004,female,15-24 years,292268,20
Albania,2004,female,25-34 years,222389,11
Albania,2004,female,35-54 years,391436,17
Albania,2004,female,5-14 years,286705,3
Albania,2004,female,55-74 years,203841,3
Albania,2004,female,75+ years,50970,3
Albania,2004,male,15-24 years,286768,19
Albania,2004,male,25-34 years,203938,16
Albania,2004,male,35-54 years,391767,39
Albania,2004,male,5-14 years,302181,1
Albania,2004,male,55-74 years,207202,10
Albania,2004,male,75+ years,35526,4
Albania,2005,female,15-24 years,281922,0
Albania,2005,female,25-34 years,190745,0
Albania,2005,female,35-54 years,386513,0
Albania,2005,female,5-14 years,276559,0
Albania,2005,female,55-74 years,210998,0
Albania,2005,female,75+ years,53191,0
Albania,2005,male,15-24 years,281675,0
Albania,2005,male,25-34 years,177519,0
Albania,2005,male,35-54 years,380242,0
Albania,2005,male,5-14 years,291367,0
Albania,2005,male,55-74 years,214118,0
Albania,2005,male,75+ years,38471,0
Albania,2006,female,15-24 years,283138,0
Albania,2006,female,25-34 years,186391,0
Albania,2006,female,35-54 years,388746,0
Albania,2006,female,5-14 years,267316,0
Albania,2006,female,55-74 years,215907,0
Albania,2006,female,75+ years,56011,0
Albania,2006,male,15-24 years,286679,0
Albania,2006,male,25-34 years,174092,0
Albania,2006,male,35-54 years,379076,0
Albania,2006,male,5-14 years,282678,0
Albania,2006,male,55-74 years,219360,0
Albania,2006,male,75+ years,40782,0
Albania,2007,female,15-24 years,281080,13
Albania,2007,female,25-34 years,183629,8
Albania,2007,female,35-54 years,391811,14
Albania,2007,female,5-14 years,256808,0
Albania,2007,female,55-74 years,221120,9
Albania,2007,female,75+ years,57404,3
Albania,2007,male,15-24 years,288349,13
Albania,2007,male,25-34 years,172494,9
Albania,2007,male,35-54 years,378626,29
Albania,2007,male,5-14 years,272497,4
Albania,2007,male,55-74 years,224160,14
Albania,2007,male,75+ years,42366,8
Albania,2008,female,15-24 years,276073,20
Albania,2008,female,25-34 years,182663,9
Albania,2008,female,35-54 years,393832,19
Albania,2008,female,5-14 years,246288,1
Albania,2008,female,55-74 years,226448,7
Albania,2008,female,75+ years,59369,5
Albania,2008,male,15-24 years,286702,11
Albania,2008,male,25-34 years,172855,21
Albania,2008,male,35-54 years,377119,37
Albania,2008,male,5-14 years,262464,7
Albania,2008,male,55-74 years,228672,21
Albania,2008,male,75+ years,44574,2
Albania,2009,female,15-24 years,270003,0
Albania,2009,female,25-34 years,182712,0
Albania,2009,female,35-54 years,394286,0
Albania,2009,female,5-14 years,236174,0
Albania,2009,female,55-74 years,233302,0
Albania,2009,female,75+ years,61582,0
Albania,2009,male,15-24 years,283448,0
Albania,2009,male,25-34 years,174955,0
Albania,2009,male,35-54 years,374365,0
Albania,2009,male,5-14 years,253007,0
Albania,2009,male,55-74 years,234570,0
Albania,2009,male,75+ years,47331,0
Albania,2010,female,15-24 years,263581,6
Albania,2010,female,25-34 years,183579,6
Albania,2010,female,35-54 years,394593,12
Albania,2010,female,5-14 years,223969,2
Albania,2010,female,55-74 years,241491,7
Albania,2010,female,75+ years,64415,2
Albania,2010,male,15-24 years,279508,10
Albania,2010,male,25-34 years,179720,9
Albania,2010,male,35-54 years,371611,20
Albania,2010,male,5-14 years,240939,0
Albania,2010,male,55-74 years,241852,20
Albania,2010,male,75+ years,50767,2
Albania,2011,female,15-24 years,258006,0
Albania,2011,female,25-34 years,184556,0
Albania,2011,female,35-54 years,394638,0
Albania,2011,female,5-14 years,210822,0
Albania,2011,female,55-74 years,250641,0
Albania,2011,female,75+ years,67649,0
Albania,2011,male,15-24 years,275385,0
Albania,2011,male,25-34 years,185898,0
Albania,2011,male,35-54 years,368950,0
Albania,2011,male,5-14 years,228071,0
Albania,2011,male,55-74 years,250362,0
Albania,2011,male,75+ years,54228,0
Albania,2012,female,15-24 years,249730,0
Albania,2012,female,25-34 years,187346,0
Albania,2012,female,35-54 years,395819,0
Albania,2012,female,5-14 years,198385,0
Albania,2012,female,55-74 years,259751,0
Albania,2012,female,75+ years,69811,0
Albania,2012,male,15-24 years,268954,0
Albania,2012,male,25-34 years,194250,0
Albania,2012,male,35-54 years,369536,0
Albania,2012,male,5-14 years,215894,0
Albania,2012,male,55-74 years,259056,0
Albania,2012,male,75+ years,56701,0
Albania,2013,female,15-24 years,237550,0
Albania,2013,female,25-34 years,191853,0
Albania,2013,female,35-54 years,397517,0
Albania,2013,female,5-14 years,187558,0
Albania,2013,female,55-74 years,269026,0
Albania,2013,female,75+ years,71601,0
Albania,2013,male,15-24 years,259826,0
Albania,2013,male,25-34 years,204491,0
Albania,2013,male,35-54 years,372005,0
Albania,2013,male,5-14 years,204865,0
Albania,2013,male,55-74 years,267905,0
Albania,2013,male,75+ years,59113,0
Albania,2014,female,15-24 years,224883,0
Albania,2014,female,25-34 years,195460,0
Albania,2014,female,35-54 years,399197,0
Albania,2014,female,5-14 years,177838,0
Albania,2014,female,55-74 years,278887,0
Albania,2014,female,75+ years,73945,0
Albania,2014,male,15-24 years,250345,0
Albania,2014,male,25-34 years,213828,0
Albania,2014,male,35-54 years,373493,0
Albania,2014,male,5-14 years,194554,0
Albania,2014,male,55-74 years,277604,0
Albania,2014,male,75+ years,61678,0
Albania,2015,female,15-24 years,212324,0
Albania,2015,female,25-34 years,199024,0
Albania,2015,female,35-54 years,400275,0
Albania,2015,female,5-14 years,168140,0
Albania,2015,female,55-74 years,289055,0
Albania,2015,female,75+ years,76861,0
Albania,2015,male,15-24 years,240777,0
Albania,2015,male,25-34 years,222680,0
Albania,2015,male,35-54 years,374464,0
Albania,2015,male,5-14 years,184114,0
Albania,2015,male,55-74 years,287770,0
Albania,2015,male,75+ years,64200,0
Anguilla,1983,female,15-24 years,,0
Anguilla,1983,female,25-34 years,,0
Anguilla,1983,female,35-54 years,,0
Anguilla,1983,female,5-14 years,,0
Anguilla,1983,female,55-74 years,,0
Anguilla,1983,female,75+ years,,0
Anguilla,1983,male,15-24 years,,0
Anguilla,1983,male,25-34 years,,0
Anguilla,1983,male,35-54 years,,0
Anguilla,1983,male,5-14 years,,0
Anguilla,1983,male,55-74 years,,0
Anguilla,1983,male,75+ years,,0
Anguilla,1984,female,15-24 years,,0
Anguilla,1984,female,25-34 years,,0
Anguilla,1984,female,35-54 years,,0
Anguilla,1984,female,5-14 years,,0
Anguilla,1984,female,55-74 years,,0
Anguilla,1984,female,75+ years,,0
Anguilla,1984,male,15-24 years,,0
Anguilla,1984,male,25-34 years,,0
Anguilla,1984,male,35-54 years,,0
Anguilla,1984,male,5-14 years,,0
Anguilla,1984,male,55-74 years,,0
Anguilla,1984,male,75+ years,,0
Anguilla,1985,female,15-24 years,,0
Anguilla,1985,female,25-34 years,,0
Anguilla,1985,female,35-54 years,,0
Anguilla,1985,female,5-14 years,,0
Anguilla,1985,female,55-74 years,,0
Anguilla,1985,female,75+ years,,0
Anguilla,1985,male,15-24 years,,0
Anguilla,1985,male,25-34 years,,0
Anguilla,1985,male,35-54 years,,0
Anguilla,1985,male,5-14 years,,0
Anguilla,1985,male,55-74 years,,0
Anguilla,1985,male,75+ years,,0
Anguilla,1986,female,15-24 years,,0
Anguilla,1986,female,25-34 years,,0
Anguilla,1986,female,35-54 years,,0
Anguilla,1986,female,5-14 years,,0
Anguilla,1986,female,55-74 years,,0
Anguilla,1986,female,75+ years,,0
Anguilla,1986,male,15-24 years,,0
Anguilla,1986,male,25-34 years,,0
Anguilla,1986,male,35-54 years,,0
Anguilla,1986,male,5-14 years,,0
Anguilla,1986,male,55-74 years,,0
Anguilla,1986,male,75+ years,,0
Anguilla,1987,female,15-24 years,,0
Anguilla,1987,female,25-34 years,,0
Anguilla,1987,female,35-54 years,,0
Anguilla,1987,female,5-14 years,,0
Anguilla,1987,female,55-74 years,,0
Anguilla,1987,female,75+ years,,0
Anguilla,1987,male,15-24 years,,0
Anguilla,1987,male,25-34 years,,0
Anguilla,1987,male,35-54 years,,0
Anguilla,1987,male,5-14 years,,0
Anguilla,1987,male,55-74 years,,0
Anguilla,1987,male,75+ years,,0
Anguilla,1988,female,15-24 years,,0
Anguilla,1988,female,25-34 years,,0
Anguilla,1988,female,35-54 years,,0
Anguilla,1988,female,5-14 years,,0
Anguilla,1988,female,55-74 years,,0
Anguilla,1988,female,75+ years,,0
Anguilla,1988,male,15-24 years,,0
Anguilla,1988,male,25-34 years,,0
Anguilla,1988,male,35-54 years,,0
Anguilla,1988,male,5-14 years,,0
Anguilla,1988,male,55-74 years,,0
Anguilla,1988,male,75+ years,,0
Anguilla,1989,female,15-24 years,,0
Anguilla,1989,female,25-34 years,,0
Anguilla,1989,female,35-54 years,,0
Anguilla,1989,female,5-14 years,,0
Anguilla,1989,female,55-74 years,,0
Anguilla,1989,female,75+ years,,0
Anguilla,1989,male,15-24 years,,0
Anguilla,1989,male,25-34 years,,0
Anguilla,1989,male,35-54 years,,0
Anguilla,1989,male,5-14 years,,0
Anguilla,1989,male,55-74 years,,0
Anguilla,1989,male,75+ years,,0
Anguilla,1990,female,15-24 years,,0
Anguilla,1990,female,25-34 years,,0
Anguilla,1990,female,35-54 years,,0
Anguilla,1990,female,5-14 years,,0
Anguilla,1990,female,55-74 years,,0
Anguilla,1990,female,75+ years,,0
Anguilla,1990,male,15-24 years,,0
Anguilla,1990,male,25-34 years,,0
Anguilla,1990,male,35-54 years,,0
Anguilla,1990,male,5-14 years,,0
Anguilla,1990,male,55-74 years,,0
Anguilla,1990,male,75+ years,,0
Anguilla,1991,female,15-24 years,,0
Anguilla,1991,female,25-34 years,,0
Anguilla,1991,female,35-54 years,,0
Anguilla,1991,female,5-14 years,,0
Anguilla,1991,female,55-74 years,,0
Anguilla,1991,female,75+ years,,0
Anguilla,1991,male,15-24 years,,0
Anguilla,1991,male,25-34 years,,0
Anguilla,1991,male,35-54 years,,0
Anguilla,1991,male,5-14 years,,0
Anguilla,1991,male,55-74 years,,0
Anguilla,1991,male,75+ years,,0
Anguilla,1992,female,15-24 years,,0
Anguilla,1992,female,25-34 years,,0
Anguilla,1992,female,35-54 years,,0
Anguilla,1992,female,5-14 years,,0
Anguilla,1992,female,55-74 years,,0
Anguilla,1992,female,75+ years,,0
Anguilla,1992,male,15-24 years,,0
Anguilla,1992,male,25-34 years,,0
Anguilla,1992,male,35-54 years,,0
Anguilla,1992,male,5-14 years,,0
Anguilla,1992,male,55-74 years,,0
Anguilla,1992,male,75+ years,,0
Anguilla,1993,female,15-24 years,,0
Anguilla,1993,female,25-34 years,,0
Anguilla,1993,female,35-54 years,,0
Anguilla,1993,female,5-14 years,,0
Anguilla,1993,female,55-74 years,,0
Anguilla,1993,female,75+ years,,0
Anguilla,1993,male,15-24 years,,0
Anguilla,1993,male,25-34 years,,0
Anguilla,1993,male,35-54 years,,0
Anguilla,1993,male,5-14 years,,0
Anguilla,1993,male,55-74 years,,0
Anguilla,1993,male,75+ years,,0
Anguilla,1994,female,15-24 years,,0
Anguilla,1994,female,25-34 years,,0
Anguilla,1994,female,35-54 years,,0
Anguilla,1994,female,5-14 years,,0
Anguilla,1994,female,55-74 years,,0
Anguilla,1994,female,75+ years,,0
Anguilla,1994,male,15-24 years,,0
Anguilla,1994,male,25-34 years,,0
Anguilla,1994,male,35-54 years,,0
Anguilla,1994,male,5-14 years,,0
Anguilla,1994,male,55-74 years,,0
Anguilla,1994,male,75+ years,,0
Anguilla,1995,female,15-24 years,,0
Anguilla,1995,female,25-34 years,,0
Anguilla,1995,female,35-54 years,,0
Anguilla,1995,female,5-14 years,,0
Anguilla,1995,female,55-74 years,,0
Anguilla,1995,female,75+ years,,0
Anguilla,1995,male,15-24 years,,0
Anguilla,1995,male,25-34 years,,0
Anguilla,1995,male,35-54 years,,0
Anguilla,1995,male,5-14 years,,0
Anguilla,1995,male,55-74 years,,0
Anguilla,1995,male,75+ years,,0
Anguilla,2000,female,15-24 years,,0
Anguilla,2000,female,25-34 years,,0
Anguilla,2000,female,35-54 years,,0
Anguilla,2000,female,5-14 years,,0
Anguilla,2000,female,55-74 years,,0
Anguilla,2000,female,75+ years,,0
Anguilla,2000,male,15-24 years,,0
Anguilla,2000,male,25-34 years,,0
Anguilla,2000,male,35-54 years,,0
Anguilla,2000,male,5-14 years,,0
Anguilla,2000,male,55-74 years,,0
Anguilla,2000,male,75+ years,,0
Anguilla,2001,female,15-24 years,,0
Anguilla,2001,female,25-34 years,,0
Anguilla,2001,female,35-54 years,,0
Anguilla,2001,female,5-14 years,,0
Anguilla,2001,female,55-74 years,,0
Anguilla,2001,female,75+ years,,0
Anguilla,2001,male,15-24 years,,0
Anguilla,2001,male,25-34 years,,0
Anguilla,2001,male,35-54 years,,0
Anguilla,2001,male,5-14 years,,0
Anguilla,2001,male,55-74 years,,0
Anguilla,2001,male,75+ years,,0
Anguilla,2002,female,15-24 years,,0
Anguilla,2002,female,25-34 years,,0
Anguilla,2002,female,35-54 years,,0
Anguilla,2002,female,5-14 years,,0
Anguilla,2002,female,55-74 years,,0
Anguilla,2002,female,75+ years,,0
Anguilla,2002,male,15-24 years,,0
Anguilla,2002,male,25-34 years,,0
Anguilla,2002,male,35-54 years,,1
Anguilla,2002,male,5-14 years,,0
Anguilla,2002,male,55-74 years,,0
Anguilla,2002,male,75+ years,,0
Anguilla,2003,female,15-24 years,,0
Anguilla,2003,female,25-34 years,,0
Anguilla,2003,female,35-54 years,,0
Anguilla,2003,female,5-14 years,,0
Anguilla,2003,female,55-74 years,,0
Anguilla,2003,female,75+ years,,0
Anguilla,2003,male,15-24 years,,0
Anguilla,2003,male,25-34 years,,0
Anguilla,2003,male,35-54 years,,0
Anguilla,2003,male,5-14 years,,0
Anguilla,2003,male,55-74 years,,0
Anguilla,2003,male,75+ years,,0
Anguilla,2004,female,15-24 years,,0
Anguilla,2004,female,25-34 years,,0
Anguilla,2004,female,35-54 years,,0
Anguilla,2004,female,5-14 years,,0
Anguilla,2004,female,55-74 years,,0
Anguilla,2004,female,75+ years,,0
Anguilla,2004,male,15-24 years,,0
Anguilla,2004,male,25-34 years,,0
Anguilla,2004,male,35-54 years,,0
Anguilla,2004,male,5-14 years,,0
Anguilla,2004,male,55-74 years,,0
Anguilla,2004,male,75+ years,,0
Anguilla,2005,female,15-24 years,,0
Anguilla,2005,female,25-34 years,,0
Anguilla,2005,female,35-54 years,,0
Anguilla,2005,female,5-14 years,,0
Anguilla,2005,female,55-74 years,,0
Anguilla,2005,female,75+ years,,0
Anguilla,2005,male,15-24 years,,0
Anguilla,2005,male,25-34 years,,0
Anguilla,2005,male,35-54 years,,0
Anguilla,2005,male,5-14 years,,0
Anguilla,2005,male,55-74 years,,0
Anguilla,2005,male,75+ years,,0
Anguilla,2006,female,15-24 years,,0
Anguilla,2006,female,25-34 years,,0
Anguilla,2006,female,35-54 years,,0
Anguilla,2006,female,5-14 years,,0
Anguilla,2006,female,55-74 years,,0
Anguilla,2006,female,75+ years,,0
Anguilla,2006,male,15-24 years,,0
Anguilla,2006,male,25-34 years,,0
Anguilla,2006,male,35-54 years,,0
Anguilla,2006,male,5-14 years,,0
Anguilla,2006,male,55-74 years,,0
Anguilla,2006,male,75+ years,,0
Anguilla,2008,female,15-24 years,,0
Anguilla,2008,female,25-34 years,,0
Anguilla,2008,female,35-54 years,,0
Anguilla,2008,female,5-14 years,,0
Anguilla,2008,female,55-74 years,,0
Anguilla,2008,female,75+ years,,0
Anguilla,2008,male,15-24 years,,0
Anguilla,2008,male,25-34 years,,0
Anguilla,2008,male,35-54 years,,0
Anguilla,2008,male,5-14 years,,0
Anguilla,2008,male,55-74 years,,0
Anguilla,2008,male,75+ years,,0
Anguilla,2009,female,15-24 years,,0
Anguilla,2009,female,25-34 years,,0
Anguilla,2009,female,35-54 years,,0
Anguilla,2009,female,5-14 years,,0
Anguilla,2009,female,55-74 years,,0
Anguilla,2009,female,75+ years,,0
Anguilla,2009,male,15-24 years,,0
Anguilla,2009,male,25-34 years,,0
Anguilla,2009,male,35-54 years,,0
Anguilla,2009,male,5-14 years,,0
Anguilla,2009,male,55-74 years,,0
Anguilla,2009,male,75+ years,,0
Anguilla,2010,female,15-24 years,,0
Anguilla,2010,female,25-34 years,,0
Anguilla,2010,female,35-54 years,,0
Anguilla,2010,female,5-14 years,,0
Anguilla,2010,female,55-74 years,,0
Anguilla,2010,female,75+ years,,0
Anguilla,2010,male,15-24 years,,0
Anguilla,2010,male,25-34 years,,0
Anguilla,2010,male,35-54 years,,0
Anguilla,2010,male,5-14 years,,0
Anguilla,2010,male,55-74 years,,0
Anguilla,2010,male,75+ years,,0
Anguilla,2011,female,15-24 years,,0
Anguilla,2011,female,25-34 years,,0
Anguilla,2011,female,35-54 years,,0
Anguilla,2011,female,5-14 years,,0
Anguilla,2011,female,55-74 years,,0
Anguilla,2011,female,75+ years,,0
Anguilla,2011,male,15-24 years,,0
Anguilla,2011,male,25-34 years,,0
Anguilla,2011,male,35-54 years,,0
Anguilla,2011,male,5-14 years,,0
Anguilla,2011,male,55-74 years,,1
Anguilla,2011,male,75+ years,,0
Anguilla,2012,female,15-24 years,,0
Anguilla,2012,female,25-34 years,,0
Anguilla,2012,female,35-54 years,,0
Anguilla,2012,female,5-14 years,,0
Anguilla,2012,female,55-74 years,,0
Anguilla,2012,female,75+ years,,0
Anguilla,2012,male,15-24 years,,0
Anguilla,2012,male,25-34 years,,0
Anguilla,2012,male,35-54 years,,0
Anguilla,2012,male,5-14 years,,0
Anguilla,2012,male,55-74 years,,0
Anguilla,2012,male,75+ years,,0
Anguilla,2013,female,15-24 years,,0
Anguilla,2013,female,25-34 years,,0
Anguilla,2013,female,35-54 years,,0
Anguilla,2013,female,5-14 years,,0
Anguilla,2013,female,55-74 years,,0
Anguilla,2013,female,75+ years,,0
Anguilla,2013,male,15-24 years,,0
Anguilla,2013,male,25-34 years,,0
Anguilla,2013,male,35-54 years,,0
Anguilla,2013,male,5-14 years,,0
Anguilla,2013,male,55-74 years,,0
Anguilla,2013,male,75+ years,,0
Anguilla,2014,female,15-24 years,,0
Anguilla,2014,female,25-34 years,,0
Anguilla,2014,female,35-54 years,,0
Anguilla,2014,female,5-14 years,,0
Anguilla,2014,female,55-74 years,,0
Anguilla,2014,female,75+ years,,0
Anguilla,2014,male,15-24 years,,0
Anguilla,2014,male,25-34 years,,0
Anguilla,2014,male,35-54 years,,0
Anguilla,2014,male,5-14 years,,0
Anguilla,2014,male,55-74 years,,0
Anguilla,2014,male,75+ years,,0
Anguilla,2015,female,15-24 years,,0
Anguilla,2015,female,25-34 years,,0
Anguilla,2015,female,35-54 years,,0
Anguilla,2015,female,5-14 years,,0
Anguilla,2015,female,55-74 years,,0
Anguilla,2015,female,75+ years,,0
Anguilla,2015,male,15-24 years,,0
Anguilla,2015,male,25-34 years,,0
